Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
8502,04/02/2022,12:58:08,0,ug/m^3,0,ug/m^3,24,43.8,%RH,18,DEGREE C,753,CO2 ppm,1011,hPa,9
8503,04/02/2022,12:58:10,93,ug/m^3,0,ug/m^3,24,43.6,%RH,18.1,DEGREE C,792,CO2 ppm,1011.2,hPa,9
8504,04/02/2022,12:58:12,94,ug/m^3,0,ug/m^3,24,43.5,%RH,18.1,DEGREE C,802,CO2 ppm,1011.1,hPa,9
8505,04/02/2022,12:58:14,95,ug/m^3,0,ug/m^3,24,43.4,%RH,18.1,DEGREE C,802,CO2 ppm,1011.9,hPa,9
8506,04/02/2022,12:58:16,95,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,802,CO2 ppm,1011.9,hPa,9
8507,04/02/2022,12:58:18,95,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,802,CO2 ppm,1011.9,hPa,9
8508,04/02/2022,12:58:20,95,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,810,CO2 ppm,1011.9,hPa,9
8509,04/02/2022,12:58:22,96,ug/m^3,0,ug/m^3,24,43.3,%RH,17.9,DEGREE C,819,CO2 ppm,1012.6,hPa,9
8510,04/02/2022,12:58:24,97,ug/m^3,0,ug/m^3,24,43.4,%RH,17.9,DEGREE C,819,CO2 ppm,1012.7,hPa,9
8511,04/02/2022,12:58:26,97,ug/m^3,0,ug/m^3,24,43.4,%RH,17.9,DEGREE C,819,CO2 ppm,1012.7,hPa,9
8512,04/02/2022,12:58:28,97,ug/m^3,0,ug/m^3,24,43.4,%RH,17.9,DEGREE C,819,CO2 ppm,1012.7,hPa,9
8513,04/02/2022,12:58:30,97,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,819,CO2 ppm,1012.7,hPa,9
8514,04/02/2022,12:58:32,97,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,819,CO2 ppm,1012.7,hPa,9
8515,04/02/2022,12:58:34,97,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,828,CO2 ppm,1012.7,hPa,9
8516,04/02/2022,12:58:36,97,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,828,CO2 ppm,1011,hPa,9
8517,04/02/2022,12:58:38,97,ug/m^3,0,ug/m^3,24,43.4,%RH,18,DEGREE C,828,CO2 ppm,1011,hPa,9
8518,04/02/2022,12:58:40,97,ug/m^3,0,ug/m^3,24,43.4,%RH,17.9,DEGREE C,828,CO2 ppm,1011,hPa,9
8519,04/02/2022,12:58:42,97,ug/m^3,0,ug/m^3,24,43.4,%RH,17.8,DEGREE C,828,CO2 ppm,1011,hPa,9
8520,04/02/2022,12:58:44,97,ug/m^3,0,ug/m^3,24,43.4,%RH,17.7,DEGREE C,828,CO2 ppm,1011,hPa,9
8521,04/02/2022,12:58:46,97,ug/m^3,0,ug/m^3,24,43.7,%RH,17.7,DEGREE C,831,CO2 ppm,1009.6,hPa,9
8522,04/02/2022,12:58:48,97,ug/m^3,0,ug/m^3,24,43.7,%RH,17.6,DEGREE C,831,CO2 ppm,1009.6,hPa,9
8523,04/02/2022,12:58:50,97,ug/m^3,0,ug/m^3,24,43.7,%RH,17.6,DEGREE C,831,CO2 ppm,1009.6,hPa,9
8524,04/02/2022,12:58:52,97,ug/m^3,0,ug/m^3,24,43.7,%RH,17.5,DEGREE C,831,CO2 ppm,1009.6,hPa,9
8525,04/02/2022,12:58:54,97,ug/m^3,0,ug/m^3,24,43.7,%RH,17.5,DEGREE C,831,CO2 ppm,1009.6,hPa,9
8526,04/02/2022,12:58:56,97,ug/m^3,0,ug/m^3,24,43.7,%RH,17.5,DEGREE C,831,CO2 ppm,1009.6,hPa,9
