Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
8199,16/02/2022,13:11:01,10,ug/m^3,0,ug/m^3,24,55.4,%RH,18.9,DEGREE C,460,CO2 ppm,992.2,hPa,1
8200,16/02/2022,13:11:03,10,ug/m^3,0,ug/m^3,24,55.4,%RH,18.9,DEGREE C,462,CO2 ppm,992.2,hPa,1
8201,16/02/2022,13:11:05,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.8,DEGREE C,462,CO2 ppm,992.3,hPa,1
8202,16/02/2022,13:11:07,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.6,DEGREE C,388,CO2 ppm,992.3,hPa,1
8203,16/02/2022,13:11:09,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.5,DEGREE C,462,CO2 ppm,992.3,hPa,1
8204,16/02/2022,13:11:11,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.4,DEGREE C,462,CO2 ppm,992.3,hPa,1
8205,16/02/2022,13:11:13,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.3,DEGREE C,462,CO2 ppm,992.3,hPa,1
8206,16/02/2022,13:11:15,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.6,DEGREE C,462,CO2 ppm,992.3,hPa,1
8207,16/02/2022,13:11:17,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.7,DEGREE C,462,CO2 ppm,992.3,hPa,1
8208,16/02/2022,13:11:19,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.4,DEGREE C,462,CO2 ppm,992.3,hPa,1
8209,16/02/2022,13:11:21,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.4,DEGREE C,462,CO2 ppm,992.3,hPa,1
8210,16/02/2022,13:11:23,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.7,DEGREE C,407,CO2 ppm,992.2,hPa,1
8211,16/02/2022,13:11:25,10,ug/m^3,0,ug/m^3,24,56.4,%RH,18.8,DEGREE C,407,CO2 ppm,992.2,hPa,1
