Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
1,19/01/2022,15:15:42,9,ug/m^3,0,ug/m^3,24,36.2,%RH,19.7,DEGREE C,604,CO2 ppm,1023.4,hPa,1
2,19/01/2022,15:15:44,8,ug/m^3,0,ug/m^3,24,36.2,%RH,19.9,DEGREE C,604,CO2 ppm,1023.5,hPa,1
3,19/01/2022,15:15:46,8,ug/m^3,0,ug/m^3,24,36.2,%RH,19.9,DEGREE C,603,CO2 ppm,1023.5,hPa,1
4,19/01/2022,15:15:48,8,ug/m^3,0,ug/m^3,24,36.6,%RH,19.9,DEGREE C,603,CO2 ppm,1023.5,hPa,1
5,19/01/2022,15:15:50,8,ug/m^3,0,ug/m^3,24,36.6,%RH,20,DEGREE C,603,CO2 ppm,1023.5,hPa,1
6,19/01/2022,15:15:52,8,ug/m^3,0,ug/m^3,24,36.6,%RH,20,DEGREE C,602,CO2 ppm,1023.5,hPa,1
7,19/01/2022,15:15:54,8,ug/m^3,0,ug/m^3,24,36.2,%RH,20.1,DEGREE C,602,CO2 ppm,1023.3,hPa,1
8,19/01/2022,15:15:56,8,ug/m^3,0,ug/m^3,24,36.2,%RH,20,DEGREE C,600,CO2 ppm,1023.3,hPa,1
9,19/01/2022,15:15:58,7,ug/m^3,0,ug/m^3,24,36,%RH,20,DEGREE C,600,CO2 ppm,1023.4,hPa,1
10,19/01/2022,15:16:00,7,ug/m^3,0,ug/m^3,24,36,%RH,20.1,DEGREE C,600,CO2 ppm,1023.4,hPa,1
11,19/01/2022,15:16:02,7,ug/m^3,0,ug/m^3,24,36,%RH,20,DEGREE C,600,CO2 ppm,1023.4,hPa,1
12,19/01/2022,15:16:04,7,ug/m^3,0,ug/m^3,24,36,%RH,20,DEGREE C,600,CO2 ppm,1023.4,hPa,1
13,19/01/2022,15:16:06,7,ug/m^3,0,ug/m^3,24,35.4,%RH,19.9,DEGREE C,599,CO2 ppm,1023.3,hPa,1
14,19/01/2022,15:16:08,7,ug/m^3,0,ug/m^3,24,35.4,%RH,19.8,DEGREE C,599,CO2 ppm,1023.3,hPa,1
15,19/01/2022,15:16:10,7,ug/m^3,0,ug/m^3,24,35.4,%RH,19.7,DEGREE C,599,CO2 ppm,1023.3,hPa,1
16,19/01/2022,15:16:12,7,ug/m^3,0,ug/m^3,24,35.4,%RH,19.7,DEGREE C,599,CO2 ppm,1023.3,hPa,1
17,19/01/2022,15:16:14,6,ug/m^3,0,ug/m^3,24,35.7,%RH,19.7,DEGREE C,598,CO2 ppm,1023.8,hPa,1
18,19/01/2022,15:16:16,6,ug/m^3,0,ug/m^3,24,35.7,%RH,19.6,DEGREE C,598,CO2 ppm,1023.8,hPa,1
19,19/01/2022,15:16:18,6,ug/m^3,0,ug/m^3,24,35.7,%RH,19.4,DEGREE C,598,CO2 ppm,1023.8,hPa,1
20,19/01/2022,15:16:20,5,ug/m^3,0,ug/m^3,24,35.8,%RH,19.4,DEGREE C,597,CO2 ppm,1024,hPa,1
21,19/01/2022,15:16:22,5,ug/m^3,0,ug/m^3,24,35.8,%RH,19.4,DEGREE C,597,CO2 ppm,1024,hPa,1
22,19/01/2022,15:16:24,5,ug/m^3,0,ug/m^3,24,35.8,%RH,19.3,DEGREE C,597,CO2 ppm,1024,hPa,1
23,19/01/2022,15:16:26,5,ug/m^3,0,ug/m^3,24,36.2,%RH,19.2,DEGREE C,595,CO2 ppm,1023.6,hPa,1
24,19/01/2022,15:16:28,4,ug/m^3,0,ug/m^3,24,36.2,%RH,19.2,DEGREE C,592,CO2 ppm,1023.6,hPa,1
25,19/01/2022,15:16:30,4,ug/m^3,0,ug/m^3,24,36.2,%RH,19.1,DEGREE C,592,CO2 ppm,1023.5,hPa,1
26,19/01/2022,15:16:32,4,ug/m^3,0,ug/m^3,24,36.2,%RH,19.2,DEGREE C,592,CO2 ppm,1023.5,hPa,1
27,19/01/2022,15:16:34,4,ug/m^3,0,ug/m^3,24,36.7,%RH,19.2,DEGREE C,590,CO2 ppm,1023.5,hPa,1
28,19/01/2022,15:16:36,4,ug/m^3,0,ug/m^3,24,36.7,%RH,19,DEGREE C,588,CO2 ppm,1023.5,hPa,1
29,19/01/2022,15:16:38,4,ug/m^3,0,ug/m^3,24,36.8,%RH,18.9,DEGREE C,588,CO2 ppm,1023.5,hPa,1
30,19/01/2022,15:16:40,4,ug/m^3,0,ug/m^3,24,36.8,%RH,18.8,DEGREE C,585,CO2 ppm,1023.5,hPa,1
31,19/01/2022,15:16:42,4,ug/m^3,0,ug/m^3,24,37.4,%RH,18.8,DEGREE C,582,CO2 ppm,1023.6,hPa,1
32,19/01/2022,15:16:44,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.9,DEGREE C,580,CO2 ppm,1023.6,hPa,1
33,19/01/2022,15:16:46,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.9,DEGREE C,580,CO2 ppm,1023.6,hPa,1
34,19/01/2022,15:16:48,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.7,DEGREE C,577,CO2 ppm,1023.6,hPa,1
35,19/01/2022,15:16:50,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.7,DEGREE C,577,CO2 ppm,1023.6,hPa,1
36,19/01/2022,15:16:52,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.8,DEGREE C,577,CO2 ppm,1023.6,hPa,1
37,19/01/2022,15:16:54,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.7,DEGREE C,574,CO2 ppm,1023.6,hPa,1
38,19/01/2022,15:16:56,4,ug/m^3,0,ug/m^3,24,37.6,%RH,19,DEGREE C,574,CO2 ppm,1023.6,hPa,1
39,19/01/2022,15:16:58,4,ug/m^3,0,ug/m^3,24,37.6,%RH,19,DEGREE C,571,CO2 ppm,1023.6,hPa,1
40,19/01/2022,15:17:00,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.9,DEGREE C,571,CO2 ppm,1023.6,hPa,1
41,19/01/2022,15:17:02,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.9,DEGREE C,571,CO2 ppm,1023.6,hPa,1
42,19/01/2022,15:17:04,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.9,DEGREE C,571,CO2 ppm,1023.6,hPa,1
43,19/01/2022,15:17:06,4,ug/m^3,0,ug/m^3,24,37.6,%RH,18.9,DEGREE C,571,CO2 ppm,1023.6,hPa,1
44,19/01/2022,15:17:08,4,ug/m^3,0,ug/m^3,24,37.6,%RH,19,DEGREE C,571,CO2 ppm,1023.6,hPa,1
45,19/01/2022,15:17:10,4,ug/m^3,0,ug/m^3,24,37.6,%RH,19.2,DEGREE C,568,CO2 ppm,1023.6,hPa,1
