Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
1,21/01/2022,12:03:22,9,ug/m^3,0,ug/m^3,24,39.2,%RH,14.6,DEGREE C,638,CO2 ppm,1037.2,hPa,1
2,21/01/2022,12:03:24,7,ug/m^3,0,ug/m^3,24,39.3,%RH,14.6,DEGREE C,636,CO2 ppm,1037.6,hPa,1
3,21/01/2022,12:03:26,7,ug/m^3,0,ug/m^3,24,39.3,%RH,14.6,DEGREE C,636,CO2 ppm,1037.6,hPa,1
4,21/01/2022,12:03:28,6,ug/m^3,0,ug/m^3,24,39.4,%RH,14.6,DEGREE C,635,CO2 ppm,1037.7,hPa,1
5,21/01/2022,12:03:30,5,ug/m^3,0,ug/m^3,24,39.4,%RH,14.6,DEGREE C,634,CO2 ppm,1038,hPa,1
6,21/01/2022,12:03:32,6,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,632,CO2 ppm,1038,hPa,1
7,21/01/2022,12:03:34,5,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,631,CO2 ppm,1038,hPa,1
8,21/01/2022,12:03:36,4,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,630,CO2 ppm,1038,hPa,1
9,21/01/2022,12:03:38,4,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,629,CO2 ppm,1038,hPa,1
10,21/01/2022,12:03:40,4,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,629,CO2 ppm,1037.9,hPa,1
11,21/01/2022,12:03:42,4,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,628,CO2 ppm,1037.9,hPa,1
12,21/01/2022,12:03:44,4,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,627,CO2 ppm,1038.2,hPa,1
13,21/01/2022,12:03:46,5,ug/m^3,0,ug/m^3,24,39.5,%RH,14.6,DEGREE C,626,CO2 ppm,1038.2,hPa,1
14,21/01/2022,12:03:48,5,ug/m^3,0,ug/m^3,24,39.5,%RH,14.7,DEGREE C,625,CO2 ppm,1038.2,hPa,1
15,21/01/2022,12:03:50,5,ug/m^3,0,ug/m^3,24,39.4,%RH,14.8,DEGREE C,625,CO2 ppm,1038.1,hPa,1
16,21/01/2022,12:03:52,6,ug/m^3,0,ug/m^3,24,39.4,%RH,15.2,DEGREE C,625,CO2 ppm,1038,hPa,1
17,21/01/2022,12:03:54,6,ug/m^3,0,ug/m^3,24,39.4,%RH,15.4,DEGREE C,625,CO2 ppm,1038,hPa,1
18,21/01/2022,12:03:56,6,ug/m^3,0,ug/m^3,24,39.4,%RH,15.6,DEGREE C,658,CO2 ppm,1038,hPa,1
19,21/01/2022,12:03:58,6,ug/m^3,0,ug/m^3,24,39.4,%RH,15.8,DEGREE C,656,CO2 ppm,1038,hPa,1
20,21/01/2022,12:04:00,6,ug/m^3,0,ug/m^3,24,39.4,%RH,16,DEGREE C,656,CO2 ppm,1038,hPa,1
21,21/01/2022,12:04:02,6,ug/m^3,0,ug/m^3,24,39.4,%RH,16.1,DEGREE C,656,CO2 ppm,1038,hPa,1
22,21/01/2022,12:04:04,6,ug/m^3,0,ug/m^3,24,39.4,%RH,16.2,DEGREE C,661,CO2 ppm,1038,hPa,1
23,21/01/2022,12:04:06,6,ug/m^3,0,ug/m^3,24,39.4,%RH,16.2,DEGREE C,661,CO2 ppm,1038,hPa,1
24,21/01/2022,12:04:08,6,ug/m^3,0,ug/m^3,24,39.4,%RH,16.3,DEGREE C,669,CO2 ppm,1038,hPa,1
25,21/01/2022,12:04:10,6,ug/m^3,0,ug/m^3,24,38.2,%RH,16.4,DEGREE C,678,CO2 ppm,1037.7,hPa,1
26,21/01/2022,12:04:12,6,ug/m^3,0,ug/m^3,24,38.2,%RH,16.5,DEGREE C,678,CO2 ppm,1037.7,hPa,1
27,21/01/2022,12:04:14,6,ug/m^3,0,ug/m^3,24,38.2,%RH,16.6,DEGREE C,678,CO2 ppm,1037.7,hPa,1
28,21/01/2022,12:04:16,6,ug/m^3,0,ug/m^3,24,38.2,%RH,16.8,DEGREE C,685,CO2 ppm,1038,hPa,1
29,21/01/2022,12:04:18,6,ug/m^3,0,ug/m^3,24,36.7,%RH,16.8,DEGREE C,692,CO2 ppm,1037.8,hPa,1
30,21/01/2022,12:04:20,6,ug/m^3,0,ug/m^3,24,36.7,%RH,16.9,DEGREE C,692,CO2 ppm,1037.8,hPa,1
31,21/01/2022,12:04:22,7,ug/m^3,0,ug/m^3,24,35.8,%RH,17,DEGREE C,701,CO2 ppm,1037.8,hPa,1
32,21/01/2022,12:04:24,7,ug/m^3,0,ug/m^3,24,35.8,%RH,17.1,DEGREE C,701,CO2 ppm,1037.8,hPa,1
33,21/01/2022,12:04:26,8,ug/m^3,0,ug/m^3,24,35.8,%RH,17.5,DEGREE C,711,CO2 ppm,1037.7,hPa,1
34,21/01/2022,12:04:28,17,ug/m^3,0,ug/m^3,24,35.5,%RH,17.4,DEGREE C,718,CO2 ppm,1037.7,hPa,2
35,21/01/2022,12:04:30,17,ug/m^3,0,ug/m^3,24,35.3,%RH,17.4,DEGREE C,720,CO2 ppm,1037.7,hPa,2
