Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
1,26/01/2022,10:45:14,25,ug/m^3,0,ug/m^3,24,48.2,%RH,14.8,DEGREE C,595,CO2 ppm,1033.1,hPa,3
2,26/01/2022,10:45:16,25,ug/m^3,0,ug/m^3,24,48.2,%RH,14.6,DEGREE C,595,CO2 ppm,1033.1,hPa,3
3,26/01/2022,10:45:18,25,ug/m^3,0,ug/m^3,24,48.2,%RH,14.6,DEGREE C,595,CO2 ppm,1033.1,hPa,3
4,26/01/2022,10:45:20,25,ug/m^3,0,ug/m^3,24,48.2,%RH,14.7,DEGREE C,593,CO2 ppm,1033.1,hPa,3
5,26/01/2022,10:45:22,25,ug/m^3,0,ug/m^3,24,48.2,%RH,14.6,DEGREE C,592,CO2 ppm,1033.1,hPa,3
6,26/01/2022,10:45:24,24,ug/m^3,0,ug/m^3,24,48.2,%RH,14.6,DEGREE C,591,CO2 ppm,1033.2,hPa,3
7,26/01/2022,10:45:26,24,ug/m^3,0,ug/m^3,24,48.2,%RH,14.6,DEGREE C,591,CO2 ppm,1033.2,hPa,3
8,26/01/2022,10:45:28,24,ug/m^3,0,ug/m^3,24,45.2,%RH,14.7,DEGREE C,591,CO2 ppm,1033.3,hPa,3
9,26/01/2022,10:45:30,24,ug/m^3,0,ug/m^3,24,45.2,%RH,14.7,DEGREE C,591,CO2 ppm,1033.2,hPa,3
10,26/01/2022,10:45:32,25,ug/m^3,0,ug/m^3,24,43.6,%RH,14.6,DEGREE C,591,CO2 ppm,1033.2,hPa,3
11,26/01/2022,10:45:34,26,ug/m^3,0,ug/m^3,24,43.4,%RH,14.6,DEGREE C,591,CO2 ppm,1033.2,hPa,3
12,26/01/2022,10:45:36,25,ug/m^3,0,ug/m^3,24,43.5,%RH,14.7,DEGREE C,591,CO2 ppm,1033.2,hPa,3
13,26/01/2022,10:45:38,25,ug/m^3,0,ug/m^3,24,43.2,%RH,14.7,DEGREE C,591,CO2 ppm,1033.2,hPa,3
14,26/01/2022,10:45:40,25,ug/m^3,0,ug/m^3,24,42.8,%RH,14.7,DEGREE C,591,CO2 ppm,1033.2,hPa,3
15,26/01/2022,10:45:42,25,ug/m^3,0,ug/m^3,24,42.8,%RH,14.7,DEGREE C,591,CO2 ppm,1033.2,hPa,3
16,26/01/2022,10:45:44,24,ug/m^3,0,ug/m^3,24,42.6,%RH,14.7,DEGREE C,592,CO2 ppm,1033.2,hPa,3
17,26/01/2022,10:45:46,24,ug/m^3,0,ug/m^3,24,42.5,%RH,14.7,DEGREE C,593,CO2 ppm,1033.2,hPa,3
18,26/01/2022,10:45:48,24,ug/m^3,0,ug/m^3,24,42.5,%RH,14.7,DEGREE C,595,CO2 ppm,1033.2,hPa,3
19,26/01/2022,10:45:50,24,ug/m^3,0,ug/m^3,24,42.4,%RH,14.7,DEGREE C,596,CO2 ppm,1033.2,hPa,3
20,26/01/2022,10:45:52,24,ug/m^3,0,ug/m^3,24,42.4,%RH,14.7,DEGREE C,598,CO2 ppm,1033.2,hPa,3
21,26/01/2022,10:45:54,23,ug/m^3,0,ug/m^3,24,42.4,%RH,14.7,DEGREE C,599,CO2 ppm,1033.1,hPa,2
22,26/01/2022,10:45:56,22,ug/m^3,0,ug/m^3,24,42.3,%RH,14.7,DEGREE C,601,CO2 ppm,1033.2,hPa,2
23,26/01/2022,10:45:58,21,ug/m^3,0,ug/m^3,24,42.4,%RH,14.7,DEGREE C,602,CO2 ppm,1033.2,hPa,2
24,26/01/2022,10:46:00,21,ug/m^3,0,ug/m^3,24,43,%RH,14.8,DEGREE C,603,CO2 ppm,1033.4,hPa,2
25,26/01/2022,10:46:02,20,ug/m^3,0,ug/m^3,24,43.4,%RH,14.8,DEGREE C,604,CO2 ppm,1033.1,hPa,2
26,26/01/2022,10:46:04,20,ug/m^3,0,ug/m^3,24,43.6,%RH,14.8,DEGREE C,604,CO2 ppm,1033.3,hPa,2
27,26/01/2022,10:46:06,20,ug/m^3,0,ug/m^3,24,43.6,%RH,14.8,DEGREE C,605,CO2 ppm,1033.3,hPa,2
28,26/01/2022,10:46:08,20,ug/m^3,0,ug/m^3,24,43.3,%RH,14.9,DEGREE C,605,CO2 ppm,1033.2,hPa,2
29,26/01/2022,10:46:10,20,ug/m^3,0,ug/m^3,24,43.3,%RH,14.8,DEGREE C,605,CO2 ppm,1033.2,hPa,2
30,26/01/2022,10:46:12,20,ug/m^3,0,ug/m^3,24,43.3,%RH,14.9,DEGREE C,605,CO2 ppm,1033.2,hPa,2
31,26/01/2022,10:46:14,20,ug/m^3,0,ug/m^3,24,43.3,%RH,14.9,DEGREE C,605,CO2 ppm,1033.2,hPa,2
32,26/01/2022,10:46:16,20,ug/m^3,0,ug/m^3,24,43.3,%RH,14.9,DEGREE C,605,CO2 ppm,1033.2,hPa,2
33,26/01/2022,10:46:18,20,ug/m^3,0,ug/m^3,24,43.3,%RH,15,DEGREE C,605,CO2 ppm,1033.2,hPa,2
34,26/01/2022,10:46:20,21,ug/m^3,0,ug/m^3,24,43.5,%RH,15,DEGREE C,604,CO2 ppm,1033.3,hPa,2
35,26/01/2022,10:46:22,21,ug/m^3,0,ug/m^3,24,43.5,%RH,15,DEGREE C,604,CO2 ppm,1033.3,hPa,2
36,26/01/2022,10:46:24,22,ug/m^3,0,ug/m^3,24,43.5,%RH,15,DEGREE C,603,CO2 ppm,1033.3,hPa,2
37,26/01/2022,10:46:26,24,ug/m^3,0,ug/m^3,24,42.4,%RH,15,DEGREE C,601,CO2 ppm,1033.4,hPa,3
