Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
286,21/01/2022,12:15:43,12,ug/m^3,0,ug/m^3,24,35.7,%RH,16.3,DEGREE C,558,CO2 ppm,1037.6,hPa,2
287,21/01/2022,12:15:46,12,ug/m^3,0,ug/m^3,24,35.4,%RH,16.3,DEGREE C,558,CO2 ppm,1037.6,hPa,2
288,21/01/2022,12:15:48,12,ug/m^3,0,ug/m^3,24,35.4,%RH,16.4,DEGREE C,558,CO2 ppm,1037.6,hPa,2
289,21/01/2022,12:15:50,12,ug/m^3,0,ug/m^3,24,35.4,%RH,16.4,DEGREE C,558,CO2 ppm,1037.6,hPa,2
290,21/01/2022,12:15:52,13,ug/m^3,0,ug/m^3,24,35.3,%RH,16.4,DEGREE C,562,CO2 ppm,1037.5,hPa,2
291,21/01/2022,12:15:54,13,ug/m^3,0,ug/m^3,24,35.1,%RH,16.5,DEGREE C,566,CO2 ppm,1037.5,hPa,2
292,21/01/2022,12:15:56,13,ug/m^3,0,ug/m^3,24,35.1,%RH,16.5,DEGREE C,571,CO2 ppm,1037.6,hPa,2
293,21/01/2022,12:15:58,13,ug/m^3,0,ug/m^3,24,35.3,%RH,16.5,DEGREE C,575,CO2 ppm,1037.7,hPa,2
294,21/01/2022,12:16:00,14,ug/m^3,0,ug/m^3,24,35.4,%RH,16.5,DEGREE C,580,CO2 ppm,1037.6,hPa,2
295,21/01/2022,12:16:02,14,ug/m^3,0,ug/m^3,24,35.5,%RH,16.6,DEGREE C,585,CO2 ppm,1037.5,hPa,2
296,21/01/2022,12:16:04,14,ug/m^3,0,ug/m^3,24,35.5,%RH,16.6,DEGREE C,585,CO2 ppm,1037.5,hPa,2
297,21/01/2022,12:16:06,14,ug/m^3,0,ug/m^3,24,35.9,%RH,16.6,DEGREE C,590,CO2 ppm,1037.5,hPa,2
298,21/01/2022,12:16:08,13,ug/m^3,0,ug/m^3,24,35.7,%RH,16.6,DEGREE C,595,CO2 ppm,1037.5,hPa,2
299,21/01/2022,12:16:10,12,ug/m^3,0,ug/m^3,24,35.3,%RH,16.6,DEGREE C,601,CO2 ppm,1037.5,hPa,2
300,21/01/2022,12:16:12,12,ug/m^3,0,ug/m^3,24,35.3,%RH,16.6,DEGREE C,607,CO2 ppm,1037.5,hPa,2
301,21/01/2022,12:16:14,12,ug/m^3,0,ug/m^3,24,35.4,%RH,16.7,DEGREE C,607,CO2 ppm,1037.5,hPa,2
302,21/01/2022,12:16:16,12,ug/m^3,0,ug/m^3,24,35.4,%RH,16.7,DEGREE C,658,CO2 ppm,1037.5,hPa,2
303,21/01/2022,12:16:18,11,ug/m^3,0,ug/m^3,24,34.8,%RH,16.8,DEGREE C,661,CO2 ppm,1037.5,hPa,1
304,21/01/2022,12:16:20,11,ug/m^3,0,ug/m^3,24,34.8,%RH,16.8,DEGREE C,668,CO2 ppm,1037.5,hPa,1
305,21/01/2022,12:16:22,11,ug/m^3,0,ug/m^3,24,34.8,%RH,16.8,DEGREE C,675,CO2 ppm,1037.3,hPa,1
