Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
1,14/01/2022,11:57:48,12,ug/m^3,0,ug/m^3,24,30.8,%RH,21.9,DEGREE C,770,CO2 ppm,1030.4,hPa,2
2,14/01/2022,11:57:50,12,ug/m^3,0,ug/m^3,24,30.8,%RH,21.9,DEGREE C,770,CO2 ppm,1030.4,hPa,2
3,14/01/2022,11:57:52,12,ug/m^3,0,ug/m^3,24,30.8,%RH,21.9,DEGREE C,770,CO2 ppm,1030.4,hPa,2
4,14/01/2022,11:57:54,12,ug/m^3,0,ug/m^3,24,30.8,%RH,21.9,DEGREE C,762,CO2 ppm,1030.4,hPa,2
5,14/01/2022,11:57:56,12,ug/m^3,0,ug/m^3,24,30.8,%RH,21.8,DEGREE C,762,CO2 ppm,1030.4,hPa,2
6,14/01/2022,11:57:58,12,ug/m^3,0,ug/m^3,24,30.8,%RH,21.8,DEGREE C,762,CO2 ppm,1030.4,hPa,2
7,14/01/2022,11:58:00,11,ug/m^3,0,ug/m^3,24,30.2,%RH,21.8,DEGREE C,755,CO2 ppm,1030.5,hPa,1
8,14/01/2022,11:58:02,11,ug/m^3,0,ug/m^3,24,30.2,%RH,21.8,DEGREE C,753,CO2 ppm,1030.5,hPa,1
9,14/01/2022,11:58:04,11,ug/m^3,0,ug/m^3,24,30.2,%RH,21.8,DEGREE C,753,CO2 ppm,1030.5,hPa,1
10,14/01/2022,11:58:06,21,ug/m^3,0,ug/m^3,24,30.1,%RH,21.8,DEGREE C,754,CO2 ppm,1030.5,hPa,2
11,14/01/2022,11:58:08,21,ug/m^3,0,ug/m^3,24,30.1,%RH,21.8,DEGREE C,757,CO2 ppm,1030.5,hPa,2
12,14/01/2022,11:58:10,21,ug/m^3,0,ug/m^3,24,30.1,%RH,21.8,DEGREE C,757,CO2 ppm,1030.5,hPa,2
13,14/01/2022,11:58:12,21,ug/m^3,0,ug/m^3,24,30.1,%RH,21.7,DEGREE C,757,CO2 ppm,1030.5,hPa,2
14,14/01/2022,11:58:14,20,ug/m^3,0,ug/m^3,24,30.3,%RH,21.7,DEGREE C,759,CO2 ppm,1030.5,hPa,2
15,14/01/2022,11:58:16,19,ug/m^3,0,ug/m^3,24,30.5,%RH,21.8,DEGREE C,761,CO2 ppm,1030.5,hPa,2
16,14/01/2022,11:58:18,19,ug/m^3,0,ug/m^3,24,30.5,%RH,21.7,DEGREE C,761,CO2 ppm,1030.5,hPa,2
17,14/01/2022,11:58:20,19,ug/m^3,0,ug/m^3,24,30.5,%RH,21.7,DEGREE C,761,CO2 ppm,1030.5,hPa,2
18,14/01/2022,11:58:22,19,ug/m^3,0,ug/m^3,24,30.5,%RH,21.7,DEGREE C,762,CO2 ppm,1030.5,hPa,2
19,14/01/2022,11:58:24,17,ug/m^3,0,ug/m^3,24,30.8,%RH,21.7,DEGREE C,762,CO2 ppm,1030.6,hPa,2
20,14/01/2022,11:58:26,17,ug/m^3,0,ug/m^3,24,30.8,%RH,21.7,DEGREE C,762,CO2 ppm,1030.6,hPa,2
21,14/01/2022,11:58:28,17,ug/m^3,0,ug/m^3,24,30.8,%RH,21.7,DEGREE C,762,CO2 ppm,1030.6,hPa,2
22,14/01/2022,11:58:30,17,ug/m^3,0,ug/m^3,24,30.8,%RH,21.7,DEGREE C,762,CO2 ppm,1030.6,hPa,2
23,14/01/2022,11:58:32,17,ug/m^3,0,ug/m^3,24,30.8,%RH,21.7,DEGREE C,762,CO2 ppm,1030.6,hPa,2
24,14/01/2022,11:58:34,17,ug/m^3,0,ug/m^3,24,30.8,%RH,21.7,DEGREE C,759,CO2 ppm,1030.6,hPa,2
25,14/01/2022,11:58:36,15,ug/m^3,0,ug/m^3,24,30.5,%RH,21.7,DEGREE C,759,CO2 ppm,1030.5,hPa,2
26,14/01/2022,11:58:39,13,ug/m^3,0,ug/m^3,24,30.6,%RH,21.7,DEGREE C,751,CO2 ppm,1030.6,hPa,2
27,14/01/2022,11:58:41,11,ug/m^3,0,ug/m^3,24,30.7,%RH,21.7,DEGREE C,751,CO2 ppm,1030.5,hPa,1
28,14/01/2022,11:58:43,10,ug/m^3,0,ug/m^3,24,31.3,%RH,21.7,DEGREE C,750,CO2 ppm,1030.5,hPa,1
29,14/01/2022,11:58:45,10,ug/m^3,0,ug/m^3,24,30.9,%RH,21.6,DEGREE C,751,CO2 ppm,1030.5,hPa,1
30,14/01/2022,11:58:47,10,ug/m^3,0,ug/m^3,24,30.9,%RH,21.7,DEGREE C,751,CO2 ppm,1030.5,hPa,1
31,14/01/2022,11:58:49,9,ug/m^3,0,ug/m^3,24,31.1,%RH,21.6,DEGREE C,752,CO2 ppm,1030.5,hPa,1
32,14/01/2022,11:58:51,9,ug/m^3,0,ug/m^3,24,31.1,%RH,21.6,DEGREE C,752,CO2 ppm,1030.5,hPa,1
33,14/01/2022,11:58:53,9,ug/m^3,0,ug/m^3,24,31.1,%RH,21.6,DEGREE C,754,CO2 ppm,1030.5,hPa,1
34,14/01/2022,11:58:55,9,ug/m^3,0,ug/m^3,24,30.8,%RH,21.6,DEGREE C,755,CO2 ppm,1030.5,hPa,1
35,14/01/2022,12:44:37,10,ug/m^3,0,ug/m^3,24,44.5,%RH,26.4,DEGREE C,1136,CO2 ppm,1030,hPa,1
36,14/01/2022,12:44:39,10,ug/m^3,0,ug/m^3,24,44.5,%RH,26.4,DEGREE C,1136,CO2 ppm,1030,hPa,1
37,14/01/2022,12:44:41,10,ug/m^3,0,ug/m^3,24,39.4,%RH,26.5,DEGREE C,1331,CO2 ppm,1030,hPa,1
38,14/01/2022,12:44:43,10,ug/m^3,0,ug/m^3,24,39.4,%RH,26.4,DEGREE C,1331,CO2 ppm,1030.1,hPa,1
39,14/01/2022,12:44:45,10,ug/m^3,0,ug/m^3,24,39.4,%RH,26.2,DEGREE C,1331,CO2 ppm,1030.1,hPa,1
40,14/01/2022,12:44:47,10,ug/m^3,0,ug/m^3,24,39.4,%RH,26.3,DEGREE C,1331,CO2 ppm,1030.1,hPa,1
41,14/01/2022,12:44:49,10,ug/m^3,0,ug/m^3,24,39.4,%RH,26.1,DEGREE C,1331,CO2 ppm,1030.1,hPa,1
42,14/01/2022,12:44:51,10,ug/m^3,0,ug/m^3,24,39.4,%RH,26,DEGREE C,1331,CO2 ppm,1030.1,hPa,1
43,14/01/2022,12:44:53,10,ug/m^3,0,ug/m^3,24,39.4,%RH,25.8,DEGREE C,1331,CO2 ppm,1030.1,hPa,1
44,14/01/2022,12:45:01,10,ug/m^3,0,ug/m^3,24,31,%RH,25.8,DEGREE C,1331,CO2 ppm,1030.1,hPa,1
45,14/01/2022,12:45:02,8,ug/m^3,0,ug/m^3,24,30.9,%RH,25.8,DEGREE C,1331,CO2 ppm,1030,hPa,1
46,14/01/2022,12:45:04,6,ug/m^3,0,ug/m^3,24,30.1,%RH,25.6,DEGREE C,1331,CO2 ppm,1030,hPa,1
47,14/01/2022,12:45:06,6,ug/m^3,0,ug/m^3,24,30.1,%RH,25.7,DEGREE C,1331,CO2 ppm,1030,hPa,1
