Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
5838,27/01/2022,13:28:55,0,ug/m^3,0,ug/m^3,24,47.6,%RH,19.9,DEGREE C,576,CO2 ppm,1024.4,hPa,9
5839,27/01/2022,13:29:02,97,ug/m^3,0,ug/m^3,24,48.9,%RH,19.7,DEGREE C,569,CO2 ppm,1024.6,hPa,9
5840,27/01/2022,13:29:03,98,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,569,CO2 ppm,1024.3,hPa,9
5841,27/01/2022,13:29:05,99,ug/m^3,0,ug/m^3,24,49.3,%RH,19.6,DEGREE C,569,CO2 ppm,1024.4,hPa,9
5842,27/01/2022,13:29:07,99,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,569,CO2 ppm,1024.4,hPa,9
5843,27/01/2022,13:29:09,99,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,568,CO2 ppm,1024.4,hPa,9
5844,27/01/2022,13:29:11,99,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,568,CO2 ppm,1024.2,hPa,9
5845,27/01/2022,13:29:13,99,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,574,CO2 ppm,1024.2,hPa,9
5846,27/01/2022,13:29:15,99,ug/m^3,0,ug/m^3,24,49.3,%RH,19.8,DEGREE C,574,CO2 ppm,1024.2,hPa,9
5847,27/01/2022,13:29:17,99,ug/m^3,0,ug/m^3,24,48.9,%RH,19.8,DEGREE C,574,CO2 ppm,1024.6,hPa,9
5848,27/01/2022,13:29:19,99,ug/m^3,0,ug/m^3,24,48.9,%RH,19.8,DEGREE C,575,CO2 ppm,1024.6,hPa,9
5849,27/01/2022,13:29:21,99,ug/m^3,0,ug/m^3,24,48.9,%RH,19.8,DEGREE C,575,CO2 ppm,1024.6,hPa,9
5850,27/01/2022,13:29:23,99,ug/m^3,0,ug/m^3,24,48.9,%RH,19.8,DEGREE C,575,CO2 ppm,1024.6,hPa,9
5851,27/01/2022,13:29:25,99,ug/m^3,0,ug/m^3,24,48.9,%RH,19.8,DEGREE C,575,CO2 ppm,1024.6,hPa,9
5852,27/01/2022,13:29:27,99,ug/m^3,0,ug/m^3,24,48.9,%RH,19.8,DEGREE C,575,CO2 ppm,1024.6,hPa,9
5853,27/01/2022,13:29:29,99,ug/m^3,0,ug/m^3,24,48.9,%RH,19.8,DEGREE C,575,CO2 ppm,1024.6,hPa,9
5854,27/01/2022,13:29:31,99,ug/m^3,0,ug/m^3,24,48.7,%RH,19.8,DEGREE C,575,CO2 ppm,1024.3,hPa,9
5855,27/01/2022,13:29:33,99,ug/m^3,0,ug/m^3,24,48.7,%RH,19.8,DEGREE C,575,CO2 ppm,1024.3,hPa,9
5856,27/01/2022,13:29:35,99,ug/m^3,0,ug/m^3,24,48.7,%RH,19.8,DEGREE C,575,CO2 ppm,1024.3,hPa,9
5857,27/01/2022,13:29:37,99,ug/m^3,0,ug/m^3,24,48.7,%RH,19.8,DEGREE C,576,CO2 ppm,1024.3,hPa,9
5858,27/01/2022,13:29:39,116,ug/m^3,0,ug/m^3,24,48.7,%RH,19.8,DEGREE C,576,CO2 ppm,1024,hPa,9
5859,27/01/2022,13:29:41,116,ug/m^3,0,ug/m^3,24,48.7,%RH,19.8,DEGREE C,576,CO2 ppm,1024,hPa,9
5860,27/01/2022,13:29:43,117,ug/m^3,0,ug/m^3,24,48.5,%RH,19.8,DEGREE C,576,CO2 ppm,1024,hPa,9
5861,27/01/2022,13:29:45,117,ug/m^3,0,ug/m^3,24,48.4,%RH,19.9,DEGREE C,576,CO2 ppm,1024.1,hPa,9
5862,27/01/2022,13:29:47,117,ug/m^3,0,ug/m^3,24,48.4,%RH,19.9,DEGREE C,576,CO2 ppm,1024.1,hPa,9
5863,27/01/2022,13:29:49,116,ug/m^3,0,ug/m^3,24,49.1,%RH,19.9,DEGREE C,575,CO2 ppm,1024.1,hPa,9
5864,27/01/2022,13:29:51,115,ug/m^3,0,ug/m^3,24,49.2,%RH,19.9,DEGREE C,575,CO2 ppm,1024.1,hPa,9
5865,27/01/2022,13:29:53,114,ug/m^3,0,ug/m^3,24,48.9,%RH,20,DEGREE C,575,CO2 ppm,1024,hPa,9
5866,27/01/2022,13:29:55,114,ug/m^3,0,ug/m^3,24,48.9,%RH,20,DEGREE C,575,CO2 ppm,1023.9,hPa,9
5867,27/01/2022,13:29:57,115,ug/m^3,0,ug/m^3,24,48.3,%RH,20,DEGREE C,576,CO2 ppm,1023.9,hPa,9
5868,27/01/2022,13:29:59,115,ug/m^3,0,ug/m^3,24,48.3,%RH,20,DEGREE C,576,CO2 ppm,1023.9,hPa,9
5869,27/01/2022,13:30:01,115,ug/m^3,0,ug/m^3,24,48.3,%RH,20,DEGREE C,576,CO2 ppm,1023.9,hPa,9
5870,27/01/2022,13:30:03,115,ug/m^3,0,ug/m^3,24,48.3,%RH,20,DEGREE C,578,CO2 ppm,1023.9,hPa,9
5871,27/01/2022,13:30:05,116,ug/m^3,0,ug/m^3,24,48.6,%RH,20,DEGREE C,580,CO2 ppm,1024.1,hPa,9
5872,27/01/2022,13:30:07,118,ug/m^3,0,ug/m^3,24,48.9,%RH,19.9,DEGREE C,583,CO2 ppm,1024,hPa,9
5873,27/01/2022,13:30:09,119,ug/m^3,0,ug/m^3,24,48.9,%RH,19.9,DEGREE C,585,CO2 ppm,1024,hPa,9
5874,27/01/2022,13:30:11,121,ug/m^3,0,ug/m^3,24,48.7,%RH,19.9,DEGREE C,585,CO2 ppm,1023.9,hPa,9
5875,27/01/2022,13:30:13,121,ug/m^3,0,ug/m^3,24,48.7,%RH,19.8,DEGREE C,588,CO2 ppm,1023.9,hPa,9
5876,27/01/2022,13:30:15,121,ug/m^3,0,ug/m^3,24,48.6,%RH,19.8,DEGREE C,588,CO2 ppm,1023.7,hPa,9
5877,27/01/2022,13:30:17,121,ug/m^3,0,ug/m^3,24,48.6,%RH,19.8,DEGREE C,591,CO2 ppm,1023.7,hPa,9
5878,27/01/2022,13:30:19,120,ug/m^3,0,ug/m^3,24,49,%RH,19.7,DEGREE C,591,CO2 ppm,1023.9,hPa,9
5879,27/01/2022,13:30:21,120,ug/m^3,0,ug/m^3,24,49,%RH,19.7,DEGREE C,591,CO2 ppm,1023.9,hPa,9
5880,27/01/2022,13:30:23,120,ug/m^3,0,ug/m^3,24,49,%RH,19.6,DEGREE C,591,CO2 ppm,1023.9,hPa,9
5881,27/01/2022,13:30:25,120,ug/m^3,0,ug/m^3,24,49,%RH,19.7,DEGREE C,591,CO2 ppm,1023.9,hPa,9
5882,27/01/2022,13:30:27,117,ug/m^3,0,ug/m^3,24,49.4,%RH,19.7,DEGREE C,592,CO2 ppm,1023.7,hPa,9
5883,27/01/2022,13:30:29,117,ug/m^3,0,ug/m^3,24,49.4,%RH,19.7,DEGREE C,592,CO2 ppm,1023.7,hPa,9
5884,27/01/2022,13:30:31,115,ug/m^3,0,ug/m^3,24,49.4,%RH,19.7,DEGREE C,593,CO2 ppm,1023.8,hPa,9
5885,27/01/2022,13:30:33,114,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,593,CO2 ppm,1023.8,hPa,9
5886,27/01/2022,13:30:35,114,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,593,CO2 ppm,1023.8,hPa,9
5887,27/01/2022,13:30:37,114,ug/m^3,0,ug/m^3,24,49.3,%RH,19.7,DEGREE C,594,CO2 ppm,1024,hPa,9
5888,27/01/2022,13:30:39,114,ug/m^3,0,ug/m^3,24,49.2,%RH,19.7,DEGREE C,594,CO2 ppm,1023.9,hPa,9
5889,27/01/2022,13:30:41,114,ug/m^3,0,ug/m^3,24,49.2,%RH,19.7,DEGREE C,594,CO2 ppm,1023.9,hPa,9
5890,27/01/2022,13:30:43,114,ug/m^3,0,ug/m^3,24,49.2,%RH,19.6,DEGREE C,594,CO2 ppm,1023.9,hPa,9
5891,27/01/2022,13:30:45,114,ug/m^3,0,ug/m^3,24,48.6,%RH,19.7,DEGREE C,594,CO2 ppm,1024,hPa,9
5892,27/01/2022,13:30:47,114,ug/m^3,0,ug/m^3,24,48.8,%RH,19.6,DEGREE C,594,CO2 ppm,1024.2,hPa,9
5893,27/01/2022,13:30:49,114,ug/m^3,0,ug/m^3,24,49.2,%RH,19.5,DEGREE C,594,CO2 ppm,1024.3,hPa,9
5894,27/01/2022,13:30:51,113,ug/m^3,0,ug/m^3,24,49.3,%RH,19.5,DEGREE C,593,CO2 ppm,1024.2,hPa,9
5895,27/01/2022,13:30:53,112,ug/m^3,0,ug/m^3,24,49.2,%RH,19.5,DEGREE C,591,CO2 ppm,1024.2,hPa,9
5896,27/01/2022,13:30:55,112,ug/m^3,0,ug/m^3,24,49.2,%RH,19.6,DEGREE C,591,CO2 ppm,1024.2,hPa,9
5897,27/01/2022,13:30:57,110,ug/m^3,0,ug/m^3,24,48.6,%RH,19.6,DEGREE C,588,CO2 ppm,1024.3,hPa,9
5898,27/01/2022,13:30:59,110,ug/m^3,0,ug/m^3,24,48.2,%RH,19.6,DEGREE C,585,CO2 ppm,1024.1,hPa,9
5899,27/01/2022,13:31:01,110,ug/m^3,0,ug/m^3,24,48.2,%RH,19.7,DEGREE C,582,CO2 ppm,1024.1,hPa,9
5900,27/01/2022,13:31:03,111,ug/m^3,0,ug/m^3,24,47.8,%RH,19.7,DEGREE C,579,CO2 ppm,1024,hPa,9
