Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
7009,27/01/2022,14:08:01,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.7,DEGREE C,585,CO2 ppm,1026.6,hPa,1
7010,27/01/2022,14:08:03,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.7,DEGREE C,585,CO2 ppm,1026.6,hPa,1
7011,27/01/2022,14:08:05,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.7,DEGREE C,586,CO2 ppm,1026.6,hPa,1
7012,27/01/2022,14:08:07,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.6,DEGREE C,588,CO2 ppm,1026.6,hPa,1
7013,27/01/2022,14:08:09,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.4,DEGREE C,588,CO2 ppm,1026.6,hPa,1
7014,27/01/2022,14:08:11,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.3,DEGREE C,588,CO2 ppm,1026.6,hPa,1
7015,27/01/2022,14:08:13,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.1,DEGREE C,588,CO2 ppm,1026.6,hPa,1
7016,27/01/2022,14:08:15,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.1,DEGREE C,589,CO2 ppm,1026.6,hPa,1
7017,27/01/2022,14:08:17,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21.1,DEGREE C,589,CO2 ppm,1026.6,hPa,1
7018,27/01/2022,14:08:19,8,ug/m^3,0,ug/m^3,24,43.8,%RH,21,DEGREE C,589,CO2 ppm,1026.6,hPa,1
7019,27/01/2022,14:08:21,8,ug/m^3,0,ug/m^3,24,41.4,%RH,21,DEGREE C,588,CO2 ppm,1026.5,hPa,1
7020,27/01/2022,14:08:23,8,ug/m^3,0,ug/m^3,24,42,%RH,21.1,DEGREE C,587,CO2 ppm,1026.5,hPa,1
7021,27/01/2022,14:08:25,0,ug/m^3,0,ug/m^3,24,42.3,%RH,21.1,DEGREE C,586,CO2 ppm,1026.5,hPa,1
7022,27/01/2022,14:08:27,0,ug/m^3,0,ug/m^3,24,42.3,%RH,21.1,DEGREE C,586,CO2 ppm,1026.5,hPa,1
7023,27/01/2022,14:08:29,0,ug/m^3,0,ug/m^3,24,42.2,%RH,21.1,DEGREE C,584,CO2 ppm,1026.3,hPa,1
7024,27/01/2022,14:08:31,0,ug/m^3,0,ug/m^3,24,42.2,%RH,21.1,DEGREE C,584,CO2 ppm,1026.3,hPa,1
7025,27/01/2022,14:08:33,0,ug/m^3,0,ug/m^3,24,42.7,%RH,21.2,DEGREE C,580,CO2 ppm,1026.2,hPa,1
7026,27/01/2022,14:08:35,0,ug/m^3,0,ug/m^3,24,42.6,%RH,21.1,DEGREE C,577,CO2 ppm,1026.2,hPa,1
7027,27/01/2022,14:08:37,0,ug/m^3,0,ug/m^3,24,42.6,%RH,21.1,DEGREE C,572,CO2 ppm,1026.1,hPa,1
7028,27/01/2022,14:08:39,1,ug/m^3,0,ug/m^3,24,42.9,%RH,21.1,DEGREE C,568,CO2 ppm,1026,hPa,1
7029,27/01/2022,14:08:41,1,ug/m^3,0,ug/m^3,24,42.9,%RH,21.1,DEGREE C,562,CO2 ppm,1026,hPa,1
7030,27/01/2022,14:08:43,3,ug/m^3,0,ug/m^3,24,43.7,%RH,21.2,DEGREE C,556,CO2 ppm,1025.9,hPa,1
7031,27/01/2022,14:08:45,3,ug/m^3,0,ug/m^3,24,43.7,%RH,21.2,DEGREE C,550,CO2 ppm,1025.9,hPa,1
7032,27/01/2022,14:08:47,6,ug/m^3,0,ug/m^3,24,44.3,%RH,21.3,DEGREE C,543,CO2 ppm,1026,hPa,1
7033,27/01/2022,14:08:49,6,ug/m^3,0,ug/m^3,24,44.3,%RH,21.3,DEGREE C,537,CO2 ppm,1026.1,hPa,1
7034,27/01/2022,14:08:51,8,ug/m^3,0,ug/m^3,24,43.7,%RH,21.3,DEGREE C,531,CO2 ppm,1026.1,hPa,1
7035,27/01/2022,14:08:53,8,ug/m^3,0,ug/m^3,24,43.7,%RH,21.3,DEGREE C,525,CO2 ppm,1026.1,hPa,1
7036,27/01/2022,14:08:55,9,ug/m^3,0,ug/m^3,24,43.3,%RH,21.3,DEGREE C,525,CO2 ppm,1026.4,hPa,1
7037,27/01/2022,14:08:57,9,ug/m^3,0,ug/m^3,24,43.3,%RH,21.3,DEGREE C,520,CO2 ppm,1026.4,hPa,1
7038,27/01/2022,14:08:59,10,ug/m^3,0,ug/m^3,24,43.5,%RH,21.3,DEGREE C,520,CO2 ppm,1026.5,hPa,1
7039,27/01/2022,14:09:01,10,ug/m^3,0,ug/m^3,24,43.5,%RH,21.2,DEGREE C,513,CO2 ppm,1026.5,hPa,1
7040,27/01/2022,14:09:03,10,ug/m^3,0,ug/m^3,24,43.1,%RH,21.2,DEGREE C,513,CO2 ppm,1026.6,hPa,1
7041,27/01/2022,14:09:05,10,ug/m^3,0,ug/m^3,24,43.1,%RH,21.3,DEGREE C,510,CO2 ppm,1026.6,hPa,1
7042,27/01/2022,14:09:07,10,ug/m^3,0,ug/m^3,24,43.1,%RH,21.3,DEGREE C,510,CO2 ppm,1026.6,hPa,1
7043,27/01/2022,14:09:09,10,ug/m^3,0,ug/m^3,24,43.1,%RH,21.3,DEGREE C,510,CO2 ppm,1026.6,hPa,1
7044,27/01/2022,14:09:11,10,ug/m^3,0,ug/m^3,24,43.1,%RH,21.4,DEGREE C,510,CO2 ppm,1026.6,hPa,1
7045,27/01/2022,14:09:13,10,ug/m^3,0,ug/m^3,24,43.8,%RH,21.4,DEGREE C,508,CO2 ppm,1026.6,hPa,1
7046,27/01/2022,14:09:15,10,ug/m^3,0,ug/m^3,24,43.8,%RH,21.4,DEGREE C,508,CO2 ppm,1026.6,hPa,1
7047,27/01/2022,14:09:17,9,ug/m^3,0,ug/m^3,24,43.5,%RH,21.4,DEGREE C,507,CO2 ppm,1026.6,hPa,1
7048,27/01/2022,14:09:19,9,ug/m^3,0,ug/m^3,24,43.5,%RH,21.4,DEGREE C,507,CO2 ppm,1026.6,hPa,1
7049,27/01/2022,14:09:21,9,ug/m^3,0,ug/m^3,24,43.5,%RH,21.4,DEGREE C,507,CO2 ppm,1026.6,hPa,1
7050,27/01/2022,14:09:23,8,ug/m^3,0,ug/m^3,24,43.1,%RH,21.4,DEGREE C,507,CO2 ppm,1026.7,hPa,1
7051,27/01/2022,14:09:25,8,ug/m^3,0,ug/m^3,24,43.2,%RH,21.4,DEGREE C,506,CO2 ppm,1026.7,hPa,1
7052,27/01/2022,14:09:27,8,ug/m^3,0,ug/m^3,24,43.2,%RH,21.4,DEGREE C,506,CO2 ppm,1026.7,hPa,1
7053,27/01/2022,14:09:29,7,ug/m^3,0,ug/m^3,24,42.6,%RH,21.1,DEGREE C,507,CO2 ppm,1026.6,hPa,1
7054,27/01/2022,14:09:31,7,ug/m^3,0,ug/m^3,24,42.3,%RH,20.8,DEGREE C,508,CO2 ppm,1026.7,hPa,1
7055,27/01/2022,14:09:33,7,ug/m^3,0,ug/m^3,24,42.3,%RH,20.9,DEGREE C,508,CO2 ppm,1026.7,hPa,1
7056,27/01/2022,14:09:35,7,ug/m^3,0,ug/m^3,24,42.3,%RH,20.9,DEGREE C,508,CO2 ppm,1026.7,hPa,1
7057,27/01/2022,14:09:37,7,ug/m^3,0,ug/m^3,24,42.3,%RH,20.9,DEGREE C,510,CO2 ppm,1026.6,hPa,1
7058,27/01/2022,14:09:39,7,ug/m^3,0,ug/m^3,24,43.9,%RH,20.6,DEGREE C,512,CO2 ppm,1026.7,hPa,1
7059,27/01/2022,14:09:41,7,ug/m^3,0,ug/m^3,24,44.4,%RH,20.6,DEGREE C,515,CO2 ppm,1026.8,hPa,1
7060,27/01/2022,14:09:43,7,ug/m^3,0,ug/m^3,24,44.4,%RH,20.5,DEGREE C,518,CO2 ppm,1026.8,hPa,1
7061,27/01/2022,14:09:45,7,ug/m^3,0,ug/m^3,24,44.5,%RH,20.3,DEGREE C,518,CO2 ppm,1026.7,hPa,1
7062,27/01/2022,14:09:47,7,ug/m^3,0,ug/m^3,24,44.5,%RH,20.5,DEGREE C,521,CO2 ppm,1026.7,hPa,1
7063,27/01/2022,14:09:49,7,ug/m^3,0,ug/m^3,24,45.2,%RH,20.6,DEGREE C,521,CO2 ppm,1026.9,hPa,1
7064,27/01/2022,14:09:51,7,ug/m^3,0,ug/m^3,24,45.2,%RH,20.6,DEGREE C,652,CO2 ppm,1026.9,hPa,1
7065,27/01/2022,14:09:53,21,ug/m^3,0,ug/m^3,24,44.2,%RH,20.5,DEGREE C,652,CO2 ppm,1026.7,hPa,2
