Position, Date, Time, PM2.5, Unit, PM2.5 TWA, Unit, TWA Hour, Humidity, Unit, Temp., Unit, CO2, Unit, Baro, Unit, Health Index
4485,27/01/2022,11:08:00,103,ug/m^3,0,ug/m^3,24,40.6,%RH,22.3,DEGREE C,709,CO2 ppm,1025.7,hPa,9
4486,27/01/2022,11:08:02,103,ug/m^3,0,ug/m^3,24,40.6,%RH,22.3,DEGREE C,709,CO2 ppm,1025.6,hPa,9
4487,27/01/2022,11:08:04,105,ug/m^3,0,ug/m^3,24,40.6,%RH,22.4,DEGREE C,697,CO2 ppm,1025.7,hPa,9
4488,27/01/2022,11:08:06,105,ug/m^3,0,ug/m^3,24,40.6,%RH,22.4,DEGREE C,687,CO2 ppm,1025.7,hPa,9
4489,27/01/2022,11:08:08,105,ug/m^3,0,ug/m^3,24,40.6,%RH,22.4,DEGREE C,678,CO2 ppm,1025.7,hPa,9
4490,27/01/2022,11:08:10,105,ug/m^3,0,ug/m^3,24,40.5,%RH,22.4,DEGREE C,673,CO2 ppm,1025.6,hPa,9
4491,27/01/2022,11:08:12,105,ug/m^3,0,ug/m^3,24,40.5,%RH,22.5,DEGREE C,668,CO2 ppm,1025.6,hPa,9
4492,27/01/2022,11:08:14,107,ug/m^3,0,ug/m^3,24,40.2,%RH,22.5,DEGREE C,668,CO2 ppm,1025.4,hPa,9
4493,27/01/2022,11:08:16,107,ug/m^3,0,ug/m^3,24,40.2,%RH,22.4,DEGREE C,661,CO2 ppm,1025.4,hPa,9
4494,27/01/2022,11:08:18,107,ug/m^3,0,ug/m^3,24,40.2,%RH,22.4,DEGREE C,642,CO2 ppm,1025.4,hPa,9
4495,27/01/2022,11:08:20,110,ug/m^3,0,ug/m^3,24,39.7,%RH,22.4,DEGREE C,642,CO2 ppm,1025.2,hPa,9
4496,27/01/2022,11:08:22,110,ug/m^3,0,ug/m^3,24,39.7,%RH,22.4,DEGREE C,642,CO2 ppm,1025.2,hPa,9
4497,27/01/2022,11:08:24,111,ug/m^3,0,ug/m^3,24,39.9,%RH,22.4,DEGREE C,642,CO2 ppm,1025.3,hPa,9
4498,27/01/2022,11:08:26,111,ug/m^3,0,ug/m^3,24,39.9,%RH,22.4,DEGREE C,643,CO2 ppm,1025.3,hPa,9
4499,27/01/2022,11:08:28,111,ug/m^3,0,ug/m^3,24,39.9,%RH,22.3,DEGREE C,643,CO2 ppm,1025.3,hPa,9
4500,27/01/2022,11:08:30,111,ug/m^3,0,ug/m^3,24,39.9,%RH,22.4,DEGREE C,643,CO2 ppm,1025.3,hPa,9
4501,27/01/2022,11:08:32,111,ug/m^3,0,ug/m^3,24,39.9,%RH,22.4,DEGREE C,643,CO2 ppm,1025.3,hPa,9
