segment start,segement end,average riding comfort,acoustic comfort,thermal comfort,air quality/ventilation,acceleration & braking,vibration,jerks/shaking,crowdedness,participant id,line
Archway,Tufnell Park,2,2,3,3,3,2,2,1,15,Northern
Tufnell Park,Kentish Town,3,3,3,3,3,3,3,1,15,Northern
Kentish Town,Camden Town,2,1,4,3,3,2,2,1,15,Northern
Camden Town,Euston,1,1,4,3,2,1,2,2,15,Northern
Euston,King's Cross St. Pancras,3,2,4,3,3,3,3,2,15,Northern
King's Cross St. Pancras,Angel,3,2,4,3,3,3,3,2,15,Northern
Angel,Old Street,3,2,3,3,3,3,3,2,15,Northern
Old Street,Moorgate ,3,3,4,3,3,4,4,2,15,Northern
Moorgate ,Bank,3,2,4,3,3,3,3,2,15,Northern
Bank,London Bridge,1,1,4,3,3,1,2,2,15,Northern
London Bridge,Borough,2,2,4,3,3,2,2,1,15,Northern
Borough,Elephant & Castle,3,2,3,3,3,2,2,1,15,Northern
Elephant & Castle,Kennington,3,2,4,3,3,3,3,1,15,Northern
Kennington,Oval ,3,2,4,4,3,3,3,1,15,Northern
Oval ,Stockwell,3,3,4,4,3,3,2,1,15,Northern
Stockwell,Clapham North,3,1,3,2,2,2,2,1,15,Northern
Clapham North,Clapham Common,3,2,3,2,2,2,2,1,15,Northern
Clapham Common,Clapham South,3,2,3,2,2,2,2,1,15,Northern
