Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
16849,04/02/2022,13:01:19,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16850,04/02/2022,13:01:20,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16851,04/02/2022,13:01:21,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16852,04/02/2022,13:01:22,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16853,04/02/2022,13:01:23,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16854,04/02/2022,13:01:24,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16855,04/02/2022,13:01:25,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16856,04/02/2022,13:01:26,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16857,04/02/2022,13:01:27,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16858,04/02/2022,13:01:28,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16859,04/02/2022,13:01:29,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16860,04/02/2022,13:01:30,12.8,WBGT Temp C,46.4,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.7,DP Temp C  
16861,04/02/2022,13:01:31,12.8,WBGT Temp C,46.5,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.8,DP Temp C  
16862,04/02/2022,13:01:32,12.9,WBGT Temp C,46.5,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.8,DP Temp C  
16863,04/02/2022,13:01:33,12.9,WBGT Temp C,46.6,%RH C      ,17.4,TA Temp C  ,17,TG Temp C  ,11.1,WET Temp C ,5.8,DP Temp C  
16864,04/02/2022,13:01:34,12.9,WBGT Temp C,46.6,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.1,WET Temp C ,5.8,DP Temp C  
16865,04/02/2022,13:01:35,12.9,WBGT Temp C,46.9,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.1,WET Temp C ,5.9,DP Temp C  
16866,04/02/2022,13:01:36,12.9,WBGT Temp C,46.9,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.1,WET Temp C ,5.9,DP Temp C  
16867,04/02/2022,13:01:37,12.9,WBGT Temp C,47.2,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.2,WET Temp C ,6,DP Temp C  
16868,04/02/2022,13:01:38,12.9,WBGT Temp C,47.2,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.2,WET Temp C ,6,DP Temp C  
16869,04/02/2022,13:01:39,12.9,WBGT Temp C,47.3,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.2,WET Temp C ,6,DP Temp C  
16870,04/02/2022,13:01:40,12.9,WBGT Temp C,47.4,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.2,WET Temp C ,6.1,DP Temp C  
16871,04/02/2022,13:01:41,12.9,WBGT Temp C,47.4,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.2,WET Temp C ,6.1,DP Temp C  
16872,04/02/2022,13:01:42,12.9,WBGT Temp C,47.4,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.2,WET Temp C ,6.1,DP Temp C  
16873,04/02/2022,13:01:43,12.9,WBGT Temp C,47.4,%RH C      ,17.4,TA Temp C  ,17.1,TG Temp C  ,11.2,WET Temp C ,6.1,DP Temp C  
