Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
25049,16/02/2022,13:11:30,14.5,WBGT Temp C,59.5,%RH C      ,18.7,TA Temp C  ,15.9,TG Temp C  ,13.9,WET Temp C ,10.6,DP Temp C  
25050,16/02/2022,13:11:31,14.5,WBGT Temp C,59.5,%RH C      ,18.7,TA Temp C  ,15.9,TG Temp C  ,13.9,WET Temp C ,10.6,DP Temp C  
25051,16/02/2022,13:11:32,14.5,WBGT Temp C,59.5,%RH C      ,18.7,TA Temp C  ,15.9,TG Temp C  ,13.9,WET Temp C ,10.6,DP Temp C  
25052,16/02/2022,13:11:33,14.5,WBGT Temp C,59.5,%RH C      ,18.7,TA Temp C  ,15.9,TG Temp C  ,13.9,WET Temp C ,10.6,DP Temp C  
25053,16/02/2022,13:11:34,14.5,WBGT Temp C,59.5,%RH C      ,18.7,TA Temp C  ,15.9,TG Temp C  ,13.9,WET Temp C ,10.6,DP Temp C  
25054,16/02/2022,13:11:35,14.5,WBGT Temp C,59.4,%RH C      ,18.7,TA Temp C  ,15.9,TG Temp C  ,13.8,WET Temp C ,10.6,DP Temp C  
25055,16/02/2022,13:11:36,14.4,WBGT Temp C,59.4,%RH C      ,18.6,TA Temp C  ,15.9,TG Temp C  ,13.8,WET Temp C ,10.5,DP Temp C  
25056,16/02/2022,13:11:37,14.4,WBGT Temp C,59.4,%RH C      ,18.6,TA Temp C  ,15.9,TG Temp C  ,13.8,WET Temp C ,10.5,DP Temp C  
25057,16/02/2022,13:11:38,14.4,WBGT Temp C,59.6,%RH C      ,18.6,TA Temp C  ,15.9,TG Temp C  ,13.8,WET Temp C ,10.5,DP Temp C  
25058,16/02/2022,13:11:39,14.4,WBGT Temp C,59.6,%RH C      ,18.6,TA Temp C  ,15.9,TG Temp C  ,13.8,WET Temp C ,10.5,DP Temp C  
25059,16/02/2022,13:11:40,14.4,WBGT Temp C,59.8,%RH C      ,18.5,TA Temp C  ,15.9,TG Temp C  ,13.8,WET Temp C ,10.5,DP Temp C  
25060,16/02/2022,13:11:41,14.3,WBGT Temp C,59.8,%RH C      ,18.5,TA Temp C  ,15.9,TG Temp C  ,13.7,WET Temp C ,10.5,DP Temp C  
25061,16/02/2022,13:11:42,14.3,WBGT Temp C,59.8,%RH C      ,18.4,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25062,16/02/2022,13:11:43,14.2,WBGT Temp C,59.8,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25063,16/02/2022,13:11:44,14.2,WBGT Temp C,60,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25064,16/02/2022,13:11:45,14.2,WBGT Temp C,60.1,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25065,16/02/2022,13:11:46,14.2,WBGT Temp C,60.1,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25066,16/02/2022,13:11:47,14.2,WBGT Temp C,60.2,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25067,16/02/2022,13:11:48,14.2,WBGT Temp C,60.2,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25068,16/02/2022,13:11:49,14.2,WBGT Temp C,60.3,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25069,16/02/2022,13:11:50,14.2,WBGT Temp C,60.3,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.4,DP Temp C  
25070,16/02/2022,13:11:51,14.2,WBGT Temp C,60.4,%RH C      ,18.3,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.5,DP Temp C  
25071,16/02/2022,13:11:52,14.3,WBGT Temp C,60.4,%RH C      ,18.2,TA Temp C  ,15.9,TG Temp C  ,13.6,WET Temp C ,10.5,DP Temp C  
25072,16/02/2022,13:11:53,14.3,WBGT Temp C,60.4,%RH C      ,18.2,TA Temp C  ,15.9,TG Temp C  ,13.5,WET Temp C ,10.4,DP Temp C  
25073,16/02/2022,13:11:54,14.2,WBGT Temp C,60.5,%RH C      ,18.3,TA Temp C  ,16,TG Temp C  ,13.5,WET Temp C ,10.5,DP Temp C  
25074,16/02/2022,13:11:55,14.3,WBGT Temp C,60.5,%RH C      ,18.3,TA Temp C  ,16,TG Temp C  ,13.6,WET Temp C ,10.5,DP Temp C  
25075,16/02/2022,13:11:56,14.3,WBGT Temp C,60.6,%RH C      ,18.3,TA Temp C  ,16,TG Temp C  ,13.6,WET Temp C ,10.5,DP Temp C  
25076,16/02/2022,13:11:57,14.3,WBGT Temp C,60.6,%RH C      ,18.3,TA Temp C  ,16,TG Temp C  ,13.7,WET Temp C ,10.5,DP Temp C  
25077,16/02/2022,13:11:58,14.3,WBGT Temp C,60.7,%RH C      ,18.3,TA Temp C  ,16,TG Temp C  ,13.7,WET Temp C ,10.5,DP Temp C  
25078,16/02/2022,13:11:59,14.3,WBGT Temp C,60.7,%RH C      ,18.3,TA Temp C  ,16,TG Temp C  ,13.7,WET Temp C ,10.5,DP Temp C  
25079,16/02/2022,13:12:00,14.3,WBGT Temp C,60.7,%RH C      ,18.3,TA Temp C  ,16,TG Temp C  ,13.7,WET Temp C ,10.5,DP Temp C  
25080,16/02/2022,13:12:01,14.3,WBGT Temp C,60.7,%RH C      ,18.4,TA Temp C  ,16,TG Temp C  ,13.7,WET Temp C ,10.5,DP Temp C  
25081,16/02/2022,13:12:02,14.4,WBGT Temp C,60.8,%RH C      ,18.4,TA Temp C  ,16,TG Temp C  ,13.8,WET Temp C ,10.7,DP Temp C  
25082,16/02/2022,13:12:03,14.4,WBGT Temp C,60.9,%RH C      ,18.4,TA Temp C  ,16.1,TG Temp C  ,13.8,WET Temp C ,10.7,DP Temp C  
25083,16/02/2022,13:12:04,14.4,WBGT Temp C,60.9,%RH C      ,18.4,TA Temp C  ,16.1,TG Temp C  ,13.8,WET Temp C ,10.7,DP Temp C  
25084,16/02/2022,13:12:05,14.4,WBGT Temp C,60.9,%RH C      ,18.4,TA Temp C  ,16.1,TG Temp C  ,13.8,WET Temp C ,10.7,DP Temp C  
25085,16/02/2022,13:12:06,14.4,WBGT Temp C,60.9,%RH C      ,18.4,TA Temp C  ,16.1,TG Temp C  ,13.8,WET Temp C ,10.7,DP Temp C  
25086,16/02/2022,13:12:07,14.4,WBGT Temp C,60.9,%RH C      ,18.5,TA Temp C  ,16.1,TG Temp C  ,13.8,WET Temp C ,10.8,DP Temp C  
25087,16/02/2022,13:12:08,14.5,WBGT Temp C,60.9,%RH C      ,18.5,TA Temp C  ,16.1,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25088,16/02/2022,13:12:09,14.5,WBGT Temp C,60.9,%RH C      ,18.5,TA Temp C  ,16.1,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25089,16/02/2022,13:12:10,14.5,WBGT Temp C,60.9,%RH C      ,18.5,TA Temp C  ,16.2,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25090,16/02/2022,13:12:11,14.5,WBGT Temp C,60.9,%RH C      ,18.5,TA Temp C  ,16.2,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25091,16/02/2022,13:12:12,14.5,WBGT Temp C,60.9,%RH C      ,18.6,TA Temp C  ,16.2,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25092,16/02/2022,13:12:13,14.5,WBGT Temp C,60.8,%RH C      ,18.6,TA Temp C  ,16.2,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25093,16/02/2022,13:12:14,14.5,WBGT Temp C,60.8,%RH C      ,18.6,TA Temp C  ,16.2,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25094,16/02/2022,13:12:15,14.6,WBGT Temp C,60.8,%RH C      ,18.6,TA Temp C  ,16.2,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25095,16/02/2022,13:12:16,14.6,WBGT Temp C,60.8,%RH C      ,18.6,TA Temp C  ,16.3,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25096,16/02/2022,13:12:17,14.6,WBGT Temp C,60.8,%RH C      ,18.6,TA Temp C  ,16.3,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25097,16/02/2022,13:12:18,14.6,WBGT Temp C,60.8,%RH C      ,18.6,TA Temp C  ,16.3,TG Temp C  ,13.9,WET Temp C ,10.8,DP Temp C  
25098,16/02/2022,13:12:19,14.6,WBGT Temp C,60.9,%RH C      ,18.7,TA Temp C  ,16.3,TG Temp C  ,13.9,WET Temp C ,11,DP Temp C  
25099,16/02/2022,13:12:20,14.7,WBGT Temp C,60.9,%RH C      ,18.7,TA Temp C  ,16.3,TG Temp C  ,14,WET Temp C ,11,DP Temp C  
25100,16/02/2022,13:12:21,14.7,WBGT Temp C,61.3,%RH C      ,18.7,TA Temp C  ,16.3,TG Temp C  ,14,WET Temp C ,11,DP Temp C  
25101,16/02/2022,13:12:22,14.7,WBGT Temp C,61.3,%RH C      ,18.7,TA Temp C  ,16.4,TG Temp C  ,14.1,WET Temp C ,11.1,DP Temp C  
25102,16/02/2022,13:12:23,14.7,WBGT Temp C,61.4,%RH C      ,18.7,TA Temp C  ,16.4,TG Temp C  ,14.1,WET Temp C ,11.1,DP Temp C  
25103,16/02/2022,13:12:24,14.7,WBGT Temp C,61.4,%RH C      ,18.7,TA Temp C  ,16.4,TG Temp C  ,14.1,WET Temp C ,11.1,DP Temp C  
25104,16/02/2022,13:12:25,14.7,WBGT Temp C,61.3,%RH C      ,18.8,TA Temp C  ,16.4,TG Temp C  ,14.2,WET Temp C ,11.1,DP Temp C  
25105,16/02/2022,13:12:26,14.8,WBGT Temp C,61.3,%RH C      ,18.8,TA Temp C  ,16.4,TG Temp C  ,14.2,WET Temp C ,11.1,DP Temp C  
25106,16/02/2022,13:12:27,14.8,WBGT Temp C,61.2,%RH C      ,18.8,TA Temp C  ,16.4,TG Temp C  ,14.2,WET Temp C ,11.1,DP Temp C  
25107,16/02/2022,13:12:28,14.8,WBGT Temp C,61,%RH C      ,18.8,TA Temp C  ,16.5,TG Temp C  ,14.2,WET Temp C ,11.1,DP Temp C  
25108,16/02/2022,13:12:29,14.8,WBGT Temp C,61,%RH C      ,18.8,TA Temp C  ,16.5,TG Temp C  ,14.1,WET Temp C ,11.1,DP Temp C  
25109,16/02/2022,13:12:30,14.8,WBGT Temp C,60.8,%RH C      ,18.8,TA Temp C  ,16.5,TG Temp C  ,14.1,WET Temp C ,11.1,DP Temp C  
25110,16/02/2022,13:12:31,14.8,WBGT Temp C,60.8,%RH C      ,18.8,TA Temp C  ,16.5,TG Temp C  ,14.1,WET Temp C ,11,DP Temp C  
25111,16/02/2022,13:12:32,14.8,WBGT Temp C,60.8,%RH C      ,18.8,TA Temp C  ,16.6,TG Temp C  ,14.1,WET Temp C ,11,DP Temp C  
25112,16/02/2022,13:12:33,14.8,WBGT Temp C,60.8,%RH C      ,18.8,TA Temp C  ,16.6,TG Temp C  ,14.1,WET Temp C ,11,DP Temp C  
25113,16/02/2022,13:12:34,14.8,WBGT Temp C,60.7,%RH C      ,18.8,TA Temp C  ,16.6,TG Temp C  ,14.1,WET Temp C ,11,DP Temp C  
25114,16/02/2022,13:12:35,14.8,WBGT Temp C,60.7,%RH C      ,18.8,TA Temp C  ,16.6,TG Temp C  ,14.1,WET Temp C ,11,DP Temp C  
25115,16/02/2022,13:12:36,14.8,WBGT Temp C,60.6,%RH C      ,18.8,TA Temp C  ,16.6,TG Temp C  ,14.1,WET Temp C ,11,DP Temp C  
25116,16/02/2022,13:12:37,14.8,WBGT Temp C,60.6,%RH C      ,18.9,TA Temp C  ,16.6,TG Temp C  ,14.1,WET Temp C ,11.1,DP Temp C  
25117,16/02/2022,13:12:38,14.9,WBGT Temp C,60.6,%RH C      ,18.9,TA Temp C  ,16.6,TG Temp C  ,14.2,WET Temp C ,11.1,DP Temp C  
25118,16/02/2022,13:12:39,14.9,WBGT Temp C,60.5,%RH C      ,18.9,TA Temp C  ,16.7,TG Temp C  ,14.2,WET Temp C ,11.1,DP Temp C  
