Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
21,19/01/2022,15:16:07,14.5,WBGT Temp C,38.3,%RH C      ,20.1,TA Temp C  ,20.1,TG Temp C  ,12.1,WET Temp C ,5.4,DP Temp C  
22,19/01/2022,15:16:09,14.5,WBGT Temp C,38.2,%RH C      ,20.1,TA Temp C  ,20.1,TG Temp C  ,12,WET Temp C ,5.4,DP Temp C  
23,19/01/2022,15:16:10,14.4,WBGT Temp C,38,%RH C      ,20.1,TA Temp C  ,20.1,TG Temp C  ,12,WET Temp C ,5.3,DP Temp C  
24,19/01/2022,15:16:11,14.4,WBGT Temp C,38,%RH C      ,20.1,TA Temp C  ,20.1,TG Temp C  ,12,WET Temp C ,5.3,DP Temp C  
25,19/01/2022,15:16:12,14.4,WBGT Temp C,37.9,%RH C      ,20.1,TA Temp C  ,20.1,TG Temp C  ,12,WET Temp C ,5.3,DP Temp C  
26,19/01/2022,15:16:13,14.4,WBGT Temp C,37.9,%RH C      ,20.1,TA Temp C  ,20.1,TG Temp C  ,12,WET Temp C ,5.3,DP Temp C  
27,19/01/2022,15:16:14,14.4,WBGT Temp C,37.8,%RH C      ,20,TA Temp C  ,20.1,TG Temp C  ,12,WET Temp C ,5.1,DP Temp C  
28,19/01/2022,15:16:15,14.3,WBGT Temp C,37.8,%RH C      ,20,TA Temp C  ,20.1,TG Temp C  ,11.9,WET Temp C ,5.1,DP Temp C  
29,19/01/2022,15:16:16,14.3,WBGT Temp C,37.8,%RH C      ,20,TA Temp C  ,20.1,TG Temp C  ,11.9,WET Temp C ,5.1,DP Temp C  
30,19/01/2022,15:16:17,14.3,WBGT Temp C,37.8,%RH C      ,20,TA Temp C  ,20.1,TG Temp C  ,11.9,WET Temp C ,5.1,DP Temp C  
31,19/01/2022,15:16:18,14.3,WBGT Temp C,37.8,%RH C      ,20,TA Temp C  ,20.1,TG Temp C  ,11.9,WET Temp C ,5.1,DP Temp C  
32,19/01/2022,15:16:19,14.3,WBGT Temp C,37.7,%RH C      ,20,TA Temp C  ,20.1,TG Temp C  ,11.9,WET Temp C ,5.1,DP Temp C  
33,19/01/2022,15:16:20,14.3,WBGT Temp C,37.7,%RH C      ,20,TA Temp C  ,20.1,TG Temp C  ,11.9,WET Temp C ,5.1,DP Temp C  
34,19/01/2022,15:16:21,14.3,WBGT Temp C,37.6,%RH C      ,19.9,TA Temp C  ,20.1,TG Temp C  ,11.9,WET Temp C ,5,DP Temp C  
35,19/01/2022,15:16:22,14.2,WBGT Temp C,37.6,%RH C      ,19.9,TA Temp C  ,20.1,TG Temp C  ,11.8,WET Temp C ,5,DP Temp C  
