Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
9542,21/01/2022,12:03:44,10.2,WBGT Temp C,42.3,%RH C      ,14.3,TA Temp C  ,15.3,TG Temp C  ,8.1,WET Temp C ,1.6,DP Temp C  
9543,21/01/2022,12:03:46,10.3,WBGT Temp C,43.2,%RH C      ,14.3,TA Temp C  ,15.3,TG Temp C  ,8.2,WET Temp C ,1.9,DP Temp C  
9544,21/01/2022,12:03:47,10.3,WBGT Temp C,43.9,%RH C      ,14.3,TA Temp C  ,15.3,TG Temp C  ,8.2,WET Temp C ,2.1,DP Temp C  
9545,21/01/2022,12:08:29,11.6,WBGT Temp C,41.9,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.2,WET Temp C ,2.8,DP Temp C  
9546,21/01/2022,12:08:30,11.6,WBGT Temp C,41.9,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.2,WET Temp C ,2.8,DP Temp C  
9547,21/01/2022,12:08:31,11.6,WBGT Temp C,41.9,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.2,WET Temp C ,2.8,DP Temp C  
9548,21/01/2022,12:08:32,11.6,WBGT Temp C,42,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.3,WET Temp C ,2.9,DP Temp C  
9549,21/01/2022,12:08:33,11.7,WBGT Temp C,42,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.3,WET Temp C ,2.9,DP Temp C  
9550,21/01/2022,12:08:34,11.7,WBGT Temp C,42.2,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.3,WET Temp C ,2.9,DP Temp C  
9551,21/01/2022,12:08:35,11.7,WBGT Temp C,42.5,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.3,WET Temp C ,3,DP Temp C  
9552,21/01/2022,12:08:36,11.7,WBGT Temp C,42.5,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.3,WET Temp C ,3,DP Temp C  
9553,21/01/2022,12:08:37,11.7,WBGT Temp C,42.9,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.3,WET Temp C ,3,DP Temp C  
9554,21/01/2022,12:08:38,11.8,WBGT Temp C,42.9,%RH C      ,15.8,TA Temp C  ,17.4,TG Temp C  ,9.4,WET Temp C ,3.2,DP Temp C  
9555,21/01/2022,12:08:39,11.8,WBGT Temp C,43.3,%RH C      ,15.8,TA Temp C  ,17.5,TG Temp C  ,9.4,WET Temp C ,3.3,DP Temp C  
9556,21/01/2022,12:08:40,11.8,WBGT Temp C,43.3,%RH C      ,15.8,TA Temp C  ,17.5,TG Temp C  ,9.4,WET Temp C ,3.3,DP Temp C  
9557,21/01/2022,12:08:41,11.8,WBGT Temp C,43.4,%RH C      ,15.8,TA Temp C  ,17.5,TG Temp C  ,9.4,WET Temp C ,3.3,DP Temp C  
9558,21/01/2022,12:08:42,11.8,WBGT Temp C,43.4,%RH C      ,15.8,TA Temp C  ,17.5,TG Temp C  ,9.4,WET Temp C ,3.3,DP Temp C  
