Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,26/01/2022,10:44:28,8.4,WBGT Temp C,48.7,%RH C      ,12.7,TA Temp C  ,10.4,TG Temp C  ,7.6,WET Temp C ,2.1,DP Temp C  
2,26/01/2022,10:44:29,8.4,WBGT Temp C,48.7,%RH C      ,12.7,TA Temp C  ,10.4,TG Temp C  ,7.6,WET Temp C ,2.1,DP Temp C  
3,26/01/2022,10:44:30,8.4,WBGT Temp C,48.7,%RH C      ,12.8,TA Temp C  ,10.4,TG Temp C  ,7.6,WET Temp C ,2.1,DP Temp C  
4,26/01/2022,10:44:31,8.4,WBGT Temp C,48.7,%RH C      ,12.8,TA Temp C  ,10.4,TG Temp C  ,7.6,WET Temp C ,2.2,DP Temp C  
5,26/01/2022,10:44:32,8.4,WBGT Temp C,48.7,%RH C      ,12.8,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.2,DP Temp C  
6,26/01/2022,10:44:33,8.4,WBGT Temp C,48.7,%RH C      ,12.8,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.2,DP Temp C  
7,26/01/2022,10:44:34,8.4,WBGT Temp C,48.7,%RH C      ,12.8,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.2,DP Temp C  
8,26/01/2022,10:44:35,8.4,WBGT Temp C,48.7,%RH C      ,12.8,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.2,DP Temp C  
9,26/01/2022,10:44:36,8.4,WBGT Temp C,48.8,%RH C      ,12.8,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.3,DP Temp C  
10,26/01/2022,10:44:37,8.4,WBGT Temp C,48.8,%RH C      ,12.8,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.3,DP Temp C  
11,26/01/2022,10:44:38,8.5,WBGT Temp C,48.7,%RH C      ,12.8,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.2,DP Temp C  
12,26/01/2022,10:44:39,8.5,WBGT Temp C,48.7,%RH C      ,12.9,TA Temp C  ,10.5,TG Temp C  ,7.6,WET Temp C ,2.2,DP Temp C  
13,26/01/2022,10:44:40,8.5,WBGT Temp C,48.6,%RH C      ,12.9,TA Temp C  ,10.6,TG Temp C  ,7.7,WET Temp C ,2.3,DP Temp C  
14,26/01/2022,10:44:41,8.5,WBGT Temp C,48.6,%RH C      ,12.9,TA Temp C  ,10.6,TG Temp C  ,7.7,WET Temp C ,2.3,DP Temp C  
15,26/01/2022,10:44:42,8.5,WBGT Temp C,48.6,%RH C      ,12.9,TA Temp C  ,10.6,TG Temp C  ,7.7,WET Temp C ,2.3,DP Temp C  
16,26/01/2022,10:44:43,8.5,WBGT Temp C,48.6,%RH C      ,12.9,TA Temp C  ,10.6,TG Temp C  ,7.7,WET Temp C ,2.3,DP Temp C  
17,26/01/2022,10:44:44,8.5,WBGT Temp C,48.6,%RH C      ,12.9,TA Temp C  ,10.6,TG Temp C  ,7.7,WET Temp C ,2.3,DP Temp C  
18,26/01/2022,10:44:45,8.5,WBGT Temp C,48.6,%RH C      ,12.9,TA Temp C  ,10.6,TG Temp C  ,7.7,WET Temp C ,2.3,DP Temp C  
19,26/01/2022,10:44:46,8.5,WBGT Temp C,48.5,%RH C      ,13,TA Temp C  ,10.6,TG Temp C  ,7.7,WET Temp C ,2.4,DP Temp C  
20,26/01/2022,10:44:47,8.6,WBGT Temp C,48.5,%RH C      ,13,TA Temp C  ,10.6,TG Temp C  ,7.8,WET Temp C ,2.4,DP Temp C  
21,26/01/2022,10:44:48,8.6,WBGT Temp C,48.5,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.4,DP Temp C  
22,26/01/2022,10:44:49,8.6,WBGT Temp C,48.5,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.4,DP Temp C  
23,26/01/2022,10:44:50,8.6,WBGT Temp C,48.4,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.3,DP Temp C  
24,26/01/2022,10:44:51,8.6,WBGT Temp C,48.4,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.3,DP Temp C  
25,26/01/2022,10:44:52,8.6,WBGT Temp C,48.4,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.3,DP Temp C  
26,26/01/2022,10:44:53,8.6,WBGT Temp C,48.4,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.3,DP Temp C  
27,26/01/2022,10:44:54,8.6,WBGT Temp C,48.4,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.3,DP Temp C  
28,26/01/2022,10:44:55,8.6,WBGT Temp C,48.5,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.4,DP Temp C  
29,26/01/2022,10:44:56,8.7,WBGT Temp C,48.5,%RH C      ,13,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.4,DP Temp C  
30,26/01/2022,10:44:57,8.7,WBGT Temp C,48.6,%RH C      ,13.1,TA Temp C  ,10.7,TG Temp C  ,7.8,WET Temp C ,2.4,DP Temp C  
31,26/01/2022,10:44:58,8.7,WBGT Temp C,48.6,%RH C      ,13.1,TA Temp C  ,10.8,TG Temp C  ,7.9,WET Temp C ,2.5,DP Temp C  
32,26/01/2022,10:44:59,8.7,WBGT Temp C,48.8,%RH C      ,13.1,TA Temp C  ,10.8,TG Temp C  ,7.9,WET Temp C ,2.5,DP Temp C  
33,26/01/2022,10:45:00,8.8,WBGT Temp C,48.8,%RH C      ,13.1,TA Temp C  ,10.8,TG Temp C  ,7.9,WET Temp C ,2.5,DP Temp C  
34,26/01/2022,10:45:01,8.8,WBGT Temp C,49,%RH C      ,13.1,TA Temp C  ,10.8,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
35,26/01/2022,10:45:02,8.8,WBGT Temp C,49,%RH C      ,13.1,TA Temp C  ,10.8,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
36,26/01/2022,10:45:03,8.8,WBGT Temp C,49,%RH C      ,13.1,TA Temp C  ,10.8,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
37,26/01/2022,10:45:04,8.7,WBGT Temp C,49,%RH C      ,13.1,TA Temp C  ,10.7,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
38,26/01/2022,10:45:05,8.7,WBGT Temp C,48.9,%RH C      ,13.1,TA Temp C  ,10.7,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
39,26/01/2022,10:45:06,8.7,WBGT Temp C,48.9,%RH C      ,13.1,TA Temp C  ,10.5,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
40,26/01/2022,10:45:07,8.6,WBGT Temp C,48.9,%RH C      ,13.1,TA Temp C  ,10.5,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
41,26/01/2022,10:45:08,8.6,WBGT Temp C,48.9,%RH C      ,13.1,TA Temp C  ,10.5,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
42,26/01/2022,10:45:09,8.7,WBGT Temp C,48.9,%RH C      ,13.2,TA Temp C  ,10.6,TG Temp C  ,7.9,WET Temp C ,2.6,DP Temp C  
43,26/01/2022,10:45:10,8.7,WBGT Temp C,48.8,%RH C      ,13.2,TA Temp C  ,10.7,TG Temp C  ,8,WET Temp C ,2.6,DP Temp C  
44,26/01/2022,10:45:11,8.8,WBGT Temp C,48.8,%RH C      ,13.2,TA Temp C  ,10.8,TG Temp C  ,8,WET Temp C ,2.6,DP Temp C  
