Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
9825,21/01/2022,12:15:42,10.8,WBGT Temp C,38.8,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9826,21/01/2022,12:15:43,10.8,WBGT Temp C,38.8,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9827,21/01/2022,12:15:44,10.8,WBGT Temp C,38.8,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9828,21/01/2022,12:15:45,10.8,WBGT Temp C,38.8,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9829,21/01/2022,12:15:46,10.8,WBGT Temp C,38.8,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9830,21/01/2022,12:15:47,10.8,WBGT Temp C,38.8,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9831,21/01/2022,12:15:48,10.8,WBGT Temp C,38.8,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9832,21/01/2022,12:15:49,10.8,WBGT Temp C,38.9,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.5,WET Temp C ,1.4,DP Temp C  
9833,21/01/2022,12:15:50,10.9,WBGT Temp C,38.9,%RH C      ,15.4,TA Temp C  ,16.4,TG Temp C  ,8.6,WET Temp C ,1.4,DP Temp C  
9834,21/01/2022,12:15:51,10.9,WBGT Temp C,38.9,%RH C      ,15.4,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.4,DP Temp C  
9835,21/01/2022,12:15:52,10.9,WBGT Temp C,38.9,%RH C      ,15.4,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.4,DP Temp C  
9836,21/01/2022,12:15:53,10.9,WBGT Temp C,39,%RH C      ,15.4,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.5,DP Temp C  
9837,21/01/2022,12:15:54,10.9,WBGT Temp C,39.1,%RH C      ,15.4,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.5,DP Temp C  
9838,21/01/2022,12:15:55,10.9,WBGT Temp C,39.1,%RH C      ,15.4,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.5,DP Temp C  
9839,21/01/2022,12:15:56,10.9,WBGT Temp C,39.1,%RH C      ,15.4,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.5,DP Temp C  
9840,21/01/2022,12:15:57,10.9,WBGT Temp C,39.1,%RH C      ,15.4,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.5,DP Temp C  
9841,21/01/2022,12:15:58,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.6,WET Temp C ,1.6,DP Temp C  
9842,21/01/2022,12:15:59,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9843,21/01/2022,12:16:00,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9844,21/01/2022,12:16:01,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9845,21/01/2022,12:16:02,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9846,21/01/2022,12:16:03,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9847,21/01/2022,12:16:04,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9848,21/01/2022,12:16:05,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9849,21/01/2022,12:16:06,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9850,21/01/2022,12:16:07,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9851,21/01/2022,12:16:08,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9852,21/01/2022,12:16:09,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.3,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9853,21/01/2022,12:16:10,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.2,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9854,21/01/2022,12:16:11,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.2,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9855,21/01/2022,12:16:12,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.2,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9856,21/01/2022,12:16:13,10.9,WBGT Temp C,39.2,%RH C      ,15.5,TA Temp C  ,16.2,TG Temp C  ,8.7,WET Temp C ,1.6,DP Temp C  
9857,21/01/2022,12:16:14,10.9,WBGT Temp C,39.3,%RH C      ,15.5,TA Temp C  ,16.2,TG Temp C  ,8.7,WET Temp C ,1.7,DP Temp C  
9858,21/01/2022,12:16:15,10.9,WBGT Temp C,39.3,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.7,WET Temp C ,1.7,DP Temp C  
9859,21/01/2022,12:16:16,11,WBGT Temp C,39.3,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9860,21/01/2022,12:16:17,11,WBGT Temp C,39.3,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9861,21/01/2022,12:16:18,11,WBGT Temp C,39.3,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9862,21/01/2022,12:16:19,11,WBGT Temp C,39.4,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9863,21/01/2022,12:16:20,11,WBGT Temp C,39.4,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9864,21/01/2022,12:16:21,11,WBGT Temp C,39.5,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9865,21/01/2022,12:16:22,11,WBGT Temp C,39.5,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9866,21/01/2022,12:16:23,11,WBGT Temp C,39.5,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9867,21/01/2022,12:16:24,11,WBGT Temp C,39.5,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9868,21/01/2022,12:16:25,11,WBGT Temp C,39.5,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9869,21/01/2022,12:16:26,11,WBGT Temp C,39.5,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9870,21/01/2022,12:16:27,11,WBGT Temp C,39.5,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.8,DP Temp C  
9871,21/01/2022,12:16:28,11,WBGT Temp C,39.6,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9872,21/01/2022,12:16:29,11,WBGT Temp C,39.6,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9873,21/01/2022,12:16:30,11,WBGT Temp C,39.6,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9874,21/01/2022,12:16:31,11,WBGT Temp C,39.6,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9875,21/01/2022,12:16:32,11,WBGT Temp C,39.6,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9876,21/01/2022,12:16:33,11,WBGT Temp C,39.6,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9877,21/01/2022,12:16:34,11,WBGT Temp C,39.6,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9878,21/01/2022,12:16:35,11,WBGT Temp C,39.7,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9879,21/01/2022,12:16:36,11,WBGT Temp C,39.7,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9880,21/01/2022,12:16:37,11,WBGT Temp C,39.7,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9881,21/01/2022,12:16:38,11,WBGT Temp C,39.7,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9882,21/01/2022,12:16:39,11,WBGT Temp C,39.7,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9883,21/01/2022,12:16:40,11,WBGT Temp C,39.7,%RH C      ,15.6,TA Temp C  ,16.2,TG Temp C  ,8.8,WET Temp C ,1.9,DP Temp C  
9884,21/01/2022,12:16:41,11,WBGT Temp C,39.7,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9885,21/01/2022,12:16:42,11,WBGT Temp C,39.7,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9886,21/01/2022,12:16:43,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9887,21/01/2022,12:16:44,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9888,21/01/2022,12:16:45,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9889,21/01/2022,12:16:46,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9890,21/01/2022,12:16:47,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9891,21/01/2022,12:16:48,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9892,21/01/2022,12:16:49,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9893,21/01/2022,12:16:50,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9894,21/01/2022,12:16:51,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9895,21/01/2022,12:16:52,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9896,21/01/2022,12:16:53,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9897,21/01/2022,12:16:54,11,WBGT Temp C,39.8,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9898,21/01/2022,12:16:55,11,WBGT Temp C,39.9,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2,DP Temp C  
9899,21/01/2022,12:16:56,11,WBGT Temp C,39.9,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2.1,DP Temp C  
9900,21/01/2022,12:16:57,11,WBGT Temp C,39.9,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2.1,DP Temp C  
9901,21/01/2022,12:16:58,11,WBGT Temp C,39.9,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2.1,DP Temp C  
9902,21/01/2022,12:16:59,11,WBGT Temp C,39.9,%RH C      ,15.7,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2.1,DP Temp C  
9903,21/01/2022,12:17:00,11,WBGT Temp C,39.9,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,8.9,WET Temp C ,2.1,DP Temp C  
9904,21/01/2022,12:17:01,11,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9905,21/01/2022,12:17:02,11.1,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9906,21/01/2022,12:17:03,11.1,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9907,21/01/2022,12:17:04,11.1,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9908,21/01/2022,12:17:05,11.1,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9909,21/01/2022,12:17:06,11.1,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9910,21/01/2022,12:17:07,11.1,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9911,21/01/2022,12:17:08,11.1,WBGT Temp C,40.1,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9912,21/01/2022,12:17:09,11.1,WBGT Temp C,40.1,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9913,21/01/2022,12:17:10,11.1,WBGT Temp C,40,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9914,21/01/2022,12:17:11,11.1,WBGT Temp C,40.1,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9915,21/01/2022,12:17:12,11.1,WBGT Temp C,40.1,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9916,21/01/2022,12:17:13,11.1,WBGT Temp C,40.1,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
9917,21/01/2022,12:17:14,11.1,WBGT Temp C,40.1,%RH C      ,15.8,TA Temp C  ,16.2,TG Temp C  ,9,WET Temp C ,2.2,DP Temp C  
