Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,14/01/2022,13:11:56,18.5,WBGT Temp C,37.1,%RH C      ,24.9,TA Temp C  ,25.6,TG Temp C  ,15.5,WET Temp C ,9.2,DP Temp C  
2,14/01/2022,13:11:57,18.5,WBGT Temp C,37.1,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.5,WET Temp C ,9.2,DP Temp C  
3,14/01/2022,13:11:58,18.5,WBGT Temp C,37,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.5,WET Temp C ,9.2,DP Temp C  
4,14/01/2022,13:11:59,18.5,WBGT Temp C,37,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.5,WET Temp C ,9.2,DP Temp C  
5,14/01/2022,13:12:00,18.5,WBGT Temp C,37,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.5,WET Temp C ,9.2,DP Temp C  
6,14/01/2022,13:12:01,18.5,WBGT Temp C,37,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.5,WET Temp C ,9.2,DP Temp C  
7,14/01/2022,13:12:02,18.5,WBGT Temp C,37,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.5,WET Temp C ,9.2,DP Temp C  
8,14/01/2022,13:12:03,18.5,WBGT Temp C,36.9,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.5,WET Temp C ,9.1,DP Temp C  
9,14/01/2022,13:12:04,18.4,WBGT Temp C,36.9,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9.1,DP Temp C  
10,14/01/2022,13:12:05,18.4,WBGT Temp C,36.9,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9.1,DP Temp C  
11,14/01/2022,13:12:06,18.4,WBGT Temp C,36.9,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9.1,DP Temp C  
12,14/01/2022,13:12:07,18.4,WBGT Temp C,36.9,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9.1,DP Temp C  
13,14/01/2022,13:12:08,18.4,WBGT Temp C,36.9,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9.1,DP Temp C  
14,14/01/2022,13:12:09,18.4,WBGT Temp C,36.9,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9.1,DP Temp C  
15,14/01/2022,13:12:10,18.4,WBGT Temp C,36.7,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9.1,DP Temp C  
16,14/01/2022,13:12:11,18.4,WBGT Temp C,36.7,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9,DP Temp C  
17,14/01/2022,13:12:12,18.4,WBGT Temp C,36.6,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9,DP Temp C  
18,14/01/2022,13:12:13,18.4,WBGT Temp C,36.6,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9,DP Temp C  
19,14/01/2022,13:12:14,18.4,WBGT Temp C,36.6,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9,DP Temp C  
20,14/01/2022,13:12:15,18.4,WBGT Temp C,36.6,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9,DP Temp C  
21,14/01/2022,13:12:16,18.4,WBGT Temp C,36.7,%RH C      ,24.9,TA Temp C  ,25.5,TG Temp C  ,15.4,WET Temp C ,9,DP Temp C  
