Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
11609,27/01/2022,13:29:57,15.1,WBGT Temp C,51.1,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9.1,DP Temp C  
11610,27/01/2022,13:29:59,15.1,WBGT Temp C,51.1,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9.1,DP Temp C  
11611,27/01/2022,13:30:00,15.1,WBGT Temp C,51.1,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9.1,DP Temp C  
11612,27/01/2022,13:30:01,15.1,WBGT Temp C,51.1,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9.1,DP Temp C  
11613,27/01/2022,13:30:02,15.1,WBGT Temp C,50.9,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9,DP Temp C  
11614,27/01/2022,13:30:03,15.1,WBGT Temp C,50.9,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9,DP Temp C  
11615,27/01/2022,13:30:04,15.1,WBGT Temp C,50.7,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9,DP Temp C  
11616,27/01/2022,13:30:05,15.1,WBGT Temp C,50.7,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.4,WET Temp C ,9,DP Temp C  
11617,27/01/2022,13:30:06,15.1,WBGT Temp C,50.5,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.3,WET Temp C ,8.9,DP Temp C  
11618,27/01/2022,13:30:07,15.1,WBGT Temp C,50.5,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.3,WET Temp C ,8.9,DP Temp C  
11619,27/01/2022,13:30:08,15.1,WBGT Temp C,50.4,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.3,WET Temp C ,8.9,DP Temp C  
11620,27/01/2022,13:30:09,15.1,WBGT Temp C,50.4,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.3,WET Temp C ,8.9,DP Temp C  
11621,27/01/2022,13:30:10,15.1,WBGT Temp C,50.4,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.3,WET Temp C ,8.9,DP Temp C  
11622,27/01/2022,13:30:11,15.1,WBGT Temp C,50.4,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.3,WET Temp C ,8.9,DP Temp C  
11623,27/01/2022,13:30:12,15.1,WBGT Temp C,50.4,%RH C      ,19.5,TA Temp C  ,19.3,TG Temp C  ,13.3,WET Temp C ,8.9,DP Temp C  
