Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
13891,27/01/2022,14:08:00,16.8,WBGT Temp C,44.9,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.6,WET Temp C ,9.5,DP Temp C  
13892,27/01/2022,14:08:01,16.8,WBGT Temp C,44.6,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13893,27/01/2022,14:08:02,16.7,WBGT Temp C,44.5,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13894,27/01/2022,14:08:03,16.7,WBGT Temp C,44.5,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13895,27/01/2022,14:08:04,16.7,WBGT Temp C,44.5,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13896,27/01/2022,14:08:05,16.7,WBGT Temp C,44.5,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13897,27/01/2022,14:08:06,16.7,WBGT Temp C,44.5,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13898,27/01/2022,14:08:07,16.7,WBGT Temp C,44.5,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13899,27/01/2022,14:08:08,16.7,WBGT Temp C,44.6,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13900,27/01/2022,14:08:09,16.7,WBGT Temp C,44.6,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.3,DP Temp C  
13901,27/01/2022,14:08:10,16.7,WBGT Temp C,44.7,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.4,DP Temp C  
13902,27/01/2022,14:08:11,16.7,WBGT Temp C,44.7,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.4,DP Temp C  
13903,27/01/2022,14:08:12,16.7,WBGT Temp C,44.7,%RH C      ,22,TA Temp C  ,22,TG Temp C  ,14.5,WET Temp C ,9.4,DP Temp C  
