Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
9085,27/01/2022,11:08:00,16.3,WBGT Temp C,45,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.2,WET Temp C ,9,DP Temp C  
9086,27/01/2022,11:08:01,16.3,WBGT Temp C,44.9,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.1,WET Temp C ,9,DP Temp C  
9087,27/01/2022,11:08:02,16.3,WBGT Temp C,44.7,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9088,27/01/2022,11:08:03,16.3,WBGT Temp C,44.7,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9089,27/01/2022,11:08:04,16.3,WBGT Temp C,44.6,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9090,27/01/2022,11:08:05,16.3,WBGT Temp C,44.6,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9091,27/01/2022,11:08:06,16.3,WBGT Temp C,44.6,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9092,27/01/2022,11:08:07,16.3,WBGT Temp C,44.6,%RH C      ,21.5,TA Temp C  ,21.5,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9093,27/01/2022,11:08:08,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9094,27/01/2022,11:08:09,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9095,27/01/2022,11:08:10,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9096,27/01/2022,11:08:11,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9097,27/01/2022,11:08:12,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9098,27/01/2022,11:08:13,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9099,27/01/2022,11:08:14,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.9,DP Temp C  
9100,27/01/2022,11:08:15,16.3,WBGT Temp C,44.4,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
9101,27/01/2022,11:08:16,16.3,WBGT Temp C,44.4,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
9102,27/01/2022,11:08:17,16.3,WBGT Temp C,44.4,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
9103,27/01/2022,11:08:18,16.3,WBGT Temp C,44.4,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
9104,27/01/2022,11:08:19,16.3,WBGT Temp C,44.4,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
9105,27/01/2022,11:08:20,16.3,WBGT Temp C,44.4,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
9106,27/01/2022,11:08:21,16.3,WBGT Temp C,44.4,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
9107,27/01/2022,11:08:22,16.3,WBGT Temp C,44.5,%RH C      ,21.5,TA Temp C  ,21.6,TG Temp C  ,14.1,WET Temp C ,8.8,DP Temp C  
