Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
589,16/02/2022,15:55:00,17.8,WBGT Temp C,52.3,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
590,16/02/2022,15:55:01,17.8,WBGT Temp C,52.3,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
591,16/02/2022,15:55:02,17.8,WBGT Temp C,52.3,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
592,16/02/2022,15:55:03,17.8,WBGT Temp C,52.3,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
593,16/02/2022,15:55:04,17.8,WBGT Temp C,52.3,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
594,16/02/2022,15:55:05,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
595,16/02/2022,15:55:06,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
596,16/02/2022,15:55:07,17.8,WBGT Temp C,52.6,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
597,16/02/2022,15:55:08,17.9,WBGT Temp C,52.6,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.4,WET Temp C ,12.6,DP Temp C  
598,16/02/2022,15:55:09,17.9,WBGT Temp C,52.6,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.4,WET Temp C ,12.6,DP Temp C  
599,16/02/2022,15:55:10,17.9,WBGT Temp C,52.6,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.4,WET Temp C ,12.6,DP Temp C  
600,16/02/2022,15:55:11,17.9,WBGT Temp C,52.5,%RH C      ,22.9,TA Temp C  ,21.5,TG Temp C  ,16.4,WET Temp C ,12.6,DP Temp C  
601,16/02/2022,15:55:12,17.9,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.4,WET Temp C ,12.6,DP Temp C  
602,16/02/2022,15:55:13,17.9,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
603,16/02/2022,15:55:14,17.8,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
604,16/02/2022,15:55:15,17.8,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
605,16/02/2022,15:55:16,17.8,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
606,16/02/2022,15:55:17,17.8,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
607,16/02/2022,15:55:18,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
608,16/02/2022,15:55:19,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
609,16/02/2022,15:55:20,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
610,16/02/2022,15:55:21,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
611,16/02/2022,15:55:22,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
612,16/02/2022,15:55:23,17.8,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
613,16/02/2022,15:55:24,17.8,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
614,16/02/2022,15:55:25,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
615,16/02/2022,15:55:26,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
616,16/02/2022,15:55:27,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
617,16/02/2022,15:55:28,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
618,16/02/2022,15:55:29,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
619,16/02/2022,15:55:30,17.8,WBGT Temp C,52.4,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
620,16/02/2022,15:55:31,17.8,WBGT Temp C,52.5,%RH C      ,22.8,TA Temp C  ,21.5,TG Temp C  ,16.3,WET Temp C ,12.5,DP Temp C  
