Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,Elephant & Castle,Start Bakerlo at E&C,,,,,,,,13:16:23
13:18:00,Lambeth North, , , , , , , , ,13:19:16
13:20:20,Waterloo, , , , , , , , ,13:20:57
13:22:11,Embankment, , , , , , , , ,13:22:37
13:23:29,Charing Cross, , , , , , , , ,13:23:48
13:25:05,Piccadilly Circus, , , , , , , , ,13:25:46
13:27:23,Oxford Circus, , , , , , , , ,13:27:43
13:29:15,Regent's Park, , , , , , , , ,13:29:28
13:30:57,Baker Street, , , , , , , , ,13:31:42
13:32:55,Marylebone, , , , , , , , ,13:33:11
13:34:09,Edgware Road, , , , , , , , ,13:34:26
13:35:49,Paddington, , , , , , , , ,13:36:12
13:37:40,Warwick Avenue, , , , , , , , ,13:37:55
13:39:19,Maida Vale, , , , , , , , ,13:39:36
13:41:04,Kilburn Park, , , , , , , , ,13:41:20
13:43:01,Queen's Park, , , , , , , , ,13:47:20
13:50:01,Kensal Green, , , , , , , , ,13:50:29
13:52:26,Willesden Junction, , , , , , , , ,
