Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,Stratford,Start,,,,,,,,13:59:49
14:02:35,Mile End,,,,,,,,,14:03:03
14:04:52,Bethnal Green,,,,,,,,,14:05:41
14:08:20,Liverpool Street,,,,,,,,,14:09:00
14:10:30,Bank,,,,,,,,,14:11:00
14:12:30,St. Paul's,,,,,,,,,14:12:50
14:14:13,Chancery Lane,,,,,,,,,14:14:42
14:15:25,Holborn,,,,,,,,,14:15:54
14:17:08,Tottenham Court Road,,,,,,,,,14:17:32
14:18:24,Oxford Circus,,,,,,,,,14:19:00
14:19:47,Bond Street,,,,,,,,,14:20:09
14:21:16,Marble Arch,,,,,,,,,14:21:54
14:23:25,Lancaster Gate,,,,,,,,,14:23:40
14:25:12,Queensway,,,,,,,,,14:25:31
14:26:36,Notting Hill Gate,,,,,,,,,14:27:12
14:28:11,Holland Park,,,,,,,,,14:28:40
14:30:05,Shepherd's Bush,,,,,,,,,14:30:30
14:32:55,White City,,,,,,,,,14:34:12
14:36:44,East Acton,,,,,,,,,14:37:13
14:38:40,North Acton,,,,,,,,,
