Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,West Ham,Start,,,,,,,,15:15:54
15:17:55,Bromley-by-Bow,,,,,,,,,15:18:27
15:20:27,Bow Road,,,,,,,,,15:20:48
15:21:50,Mile End,,,,,,,,,15:22:09
15:23:37,Stepney Green,,,,,,,,,15:24:51
15:26:37,Whitechapel,,,,,,,,,15:27:23
15:29:12,Aldgate East,,,,,,,,,15:29:45
15:31:27,Tower Hill,,,,,,,,,15:31:58
15:33:30,Monument,,,,,,,,,15:33:48
15:34:38,Cannon Street,,,,,,,,,15:35:01
15:35:58,Mansion House,,,,,,,,,15:36:24
15:37:39,Blackfriars,,,,,,,,,15:38:06
15:39:28,Temple,,,,,,,,,15:40:00
15:41:16,Embankment,,,,,,,,,15:41:43
15:42:46,Westminster,,,,,,,,,15:43:15
15:44:29,St James's Park,,,,,,,,,15:44:55
15:46:10,Victoria,,,,,,,,,15:46:54
15:48:25,Sloane Square,,,,,,,,,15:48:55
15:50:41,South Kensington,,,,,,,,,15:51:04
15:52:16,Gloucester Road,,,,,,,,,15:52:50
15:54:09,Earl's Court,,,,,,,,,15:54:37
15:56:15,West Kensington,,,,,,,,,15:56:37
15:57:53,Barons Court,,,,,,,,,16:00:32
16:01:58,Hammersmith,,,,,,,,,16:02:22
16:03:55,Ravenscourt Park,,,,,,,,,16:04:19
16:05:32,Stamford Brook,,,,,,,,,16:05:55
16:06:50,Turnham Green,,,,,,,,,
