Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,Stratford,Start,,,,,,,,10:52:07
10:54:24,West Ham,,,,,,,,,10:54:50
10:56:34,Canning Town,,,,,,,,,10:57:20
10:59:25,North Greenwich,,,,,,,,,10:59:37
11:01:20,Canary Wharf,,,,,,,,,11:01:53
11:04:02,Canada Water,,,,,,,,,11:04:23
11:05:35,Bermondsey,,,,,,,,,11:05:53
11:07:40,London Bridge,,,,,,,,,11:08:14
11:09:38,Southwark,,,,,,,,,11:09:55
11:10:37,Waterloo,,,,,,,,,11:11:03
11:12:13,Westminster,,,,,,,,,11:13:09
11:14:42,Green Park,,,,,,,,,11:15:16
11:16:42,Bond Street,,,,,,,,,11:17:08
11:18:53,Baker Street,,,,,,,,,11:19:16
11:21:46,St John's Wood,,,,,,,,,11:22:17
11:23:30,Swiss Cottage,,,,,,,,,11:23:51
11:24:50,Finchley Road,,,,,,,,,11:25:14
11:26:12,West Hampstead,,,,,,,,,11:29:10
11:30:36,Kilburn,,,,,,,,,11:31:01
11:32:42,Willesden Green,,,,,,,,,
