Arrival,Segment,average riding comfort,acoustic comfort,thermal comfort,"air quality/ 
ventilation","acceleration 
& braking","vibra-
tion","jerks/ 
shaking","crowded-
ness",Departure
,Baker Street,,,,,,,,,14:42:00
14:44:39,St. John's Wood,,,,,,,,,14:45:04
14:46:19,Swiss Cottage,,,,,,,,,14:46:42
14:47:40,Finchley Road,,,,,,,,,14:48:10
14:49:10,West Hampstead,,,,,,,,,14:49:30
14:50:58,Kilburn,,,,,,,,,14:51:23
14:53:05,Willesden Green,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
